"","Code","infos"
"33","BM07","BIOCOMPATIBILITÉ / cytotoxicite reaction inflammatoire hypersensibilite genotoxicite corrosion relargage debris d'usure / le programme permet de cerner les principaux problemes qui se posent au cours de la conception et de l'evaluation des materiaux destines à être en contact à plus ou moins long terme avec les tissus humains. / Sciences du vivant / Sante et medical / Illustrer l'aspect pluridisciplinaire de la biocompatibilite en harmonisant les interventions de specialistes de differentes disciplines : sciences du vivant, sciences des materiaux, aspects reglementaires, normes. / -d&#8217;analyser et de developper des materiaux et biomateriaux pour des dispositifs medicaux ou du genie tissulaire -de planifier, construire et expertiser des dispositifs medicaux, en maitriser les techniques specifiques et anticiper les problemes et dysfonctionnements / -d&#8217;exercer son travail de recherche et de developpement dans un contexte industriel mondialise -de rediger un rapport experimental ou d'expertise / Interactions materiaux-hote : Reactions biologiques a<U+00A0> l'interface materiau-tissus, locales, systemiques . Tests de biocompatibilite in vitro (illustres en TP), in vivo, essais cliniques, aspects reglementaires, marquage CE. Evolution des materiaux en milieu physiologique : degradation, usure, modification des proprietes mecaniques des metaux et alliages, ceramiques, polymeres. / Approche synthetique des differents domaines evoques, aptitude a<U+00A0> utiliser les documents bibliographiques exploites en TD, bonne connaissance des tests de biocompatibilite et des aspects reglementaires."
"34","BM08","MODÉLISATION DES SYSTÈMES BIOMÉCANIQUES / CAO calculs de structures methode des elements finis biomecanique / l'UV presente les methodes et outils pour modeliser les systemes biomecaniques. / Sciences du vivant / Sante et medical / concevoir des biomateriaux, des systemes biomecaniques et biomimetiques (protheses, ortheses, materiaux biomimetiques..) / - modeliser de systemes biomecaniques; - evaluer le comportement mecanique d'une prothese dans un os; - concevoir des protheses. / - s'adapter a<U+00A0> travailler dans une equipe pluridisciplinaire; - rechercher des connaissances complementaires; - presenter une synthese bibliographique (donnees bibliographiques). / Des exemples de modelisation des systemes biomecaniques illustreront leur interet dans l'evaluation des malformations des os et articulations, conception et evaluation des protheses, ortheses dans leur contexte physiologique. Le sommaire detaille et les projets peuvent etre consultes a<U+00A0> l'URL : http://www4.utc.fr/~bm08 / Etre capable d'evaluer et ameliorer la conception des protheses. Identifier les differents niveaux de complexite pour la modelisation d'un systeme biomecanique."
"35","BMI4","MODÉLISATION DES SYSTÈMES OSTÉO-ARTICULAIRE ET MUSCULOSQUELETTIQUE EN INTERACTION / NA / Le corps humain peut être decrit comme un systeme de systemes biologiques en interaction. Les methodes de modelisation osteoarticulaire et musculo-squelettique et leurs interactions sont abordees. Ces modeles permettent de mieux comprendre et evaluer les deformations, la degenerescence des systemes osteoarticulaire et musculo-squelettique. Ceci peut être utile par exemple pour aider en chirurgie ou pour la reeducation / Non renseigne / Non renseigne / La modelisation des systemes biomecaniques est complexe liee aux proprietes geometriques des structures anatomiques et les lois de comportement mecanique associees. Les methodologies de reconstruction geometrique, maillage seront abordees ainsi que le developpement des lois constitutives des systemes biomecaniques a<U+00A0> differentes echelles. / NA / NA / &#8722; Methodologie de modelisation avancee de systemes biomecaniques personnalises &#8722; Techniques de modelisation geometrique, maillage, implementation des lois de comportements derivees des techniques d'imagerie medicale &#8722; Techniques de calculs de structures en statique, en dynamique (corps deformables et indeformables) / NA"
"36","BT02","OPÉRATIONS AGRO-INDUSTRIELLES / operations unitaires agro-industrie sterilisation-pasteurisation echangeurs a<U+00A0> plaques sechage-lyophilisation evaporation-concentration congelation-surgelation cristallisation extraction diffusion / developpement de connaissances technologiques, en procede et equipements, concernant des operations caracteristiques de transformation et de conservation en agro-industrie. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / - concevoir et dimensionner des installations de transformation de la matiere biologique et alimentaire. / - integrer des concepts issus du genie biologique et du genie des procedes; - mettre en oeuvre une politique de qualite, d'hygiene te de securite; - capitaliser un large champ de connaissances de base permettant un pilotage aval de la chaine de transformation. / - realiser des bilans masse; - realiser des bilans d'energie; - dimensionner des equipements; - gerer un projet (travail de groupe, planification, restitution,...); - rediger un rapport technique et scientifique. / Apres quelques rappels de thermodynamique et d'elaboration de bilan, les principales operations unitaires rencontrees en agro-industrie sont abordees: Transfert de quantite de mouvement:viscosite,rheologie, application au dimensionnement de pompes, Action de la chaleur et transfert de chaleur:sterilisation, pasteurisation,conduction, convection, applications aux echangeurs a<U+00A0> plaques a<U+00A0> simple et multiples sections et aux evaporateurs concentrateurs, Transfert de masse: Extraction liquide-solide (exemple du sucre de betterave), cristallisation, mise en forme des poudres, application au sechage par atomisation Enfin sont abordes certains problemes associes aux techniques de conditionnement et d'emballage compte tenu de l'importance du conditionnement dans ce domaine / Savoir poser et definir les limites d'un probleme pratique, m'aitriser les moyens theoriques abordes en cours, de fa<e7>on a<U+00A0> elaborer un projet sous forme d'installation traitant des procedes plus complexes."
"37","BT03","GÉNIE DES SYSTÈMES TISSULAIRES ET IMMUNOTECHNOLOGIE / cultures in vitro cryopreservation cytotoxicite techniques de separation ingenierie tissulaire / vue d'ensemble sur les techniques destinees à l'etude des tissus animaux et à la manipulation des tissus humains à des fins experimentales et biomedicales. / Sciences du vivant / Biotechnologies / connaitre les techniques du genie cellulaire et s'entr'ainer a<U+00A0> faire la synthese de leurs connaissances. / - analyser et de developper des materiaux et biomateriaux pour des dispositifs medicaux ou du genie tissulaire; - developper des produits biotechnologiques destines a<U+00A0> l'ingenierie tissulaire; - apprehender et controler les risques inherents aux produits biotechnologiques en prenant en compte les contraintes du procede, de la qualite et de la reglementation en vigueur; - concevoir, ameliorer et developper des dispositifs medicaux innovants dans un contexte industriel conscient des enjeux societaux et environnementaux des technologies du vivant; -de planifier, construire et expertiser des dispositifs medicaux, en maitriser les techniques specifiques et anticiper les problemes et dysfonctionnements. / - exercer un travail de recherche ou de developpement dans un contexte industriel mondialise; - rediger un rapport experimental, d'expertise ou un article de recherche. / La culture de cellules, tissus et organes : methodes et applications - Immunotechnologie cellulaire : cytotoxicite, separation de populations cellulaires, integration des techniques dans les processus industriels - Les greffes - Les applications des basses temperatures - Quelques aspects reglementaires et d'assurance de la qualite. / Initiation a<U+00A0> la culture de cellules, tissus et organes, connaissance des techniques de base en immunotechnologie cellulaire, capacite a<U+00A0> utiliser une bibliographie."
"38","BT06","ANALYSE DES PRODUITS BIOLOGIQUES ET ALIMENTAIRES / produits biologiques produits alimentaires materiaux biologiques processus technologiques / Cette UV a pour objectif de donner aux etudiants les moyens de connaître la composition et la structure des materiaux biologiques en general et des aliments en particulier aux fins de suivre rationnellement les processus technologiques, la qualite et la conformite des produits à la reglementation. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / - appliquer des techniques d'analyse sensorielle, physico-chimique, immunologique et microbiologique afin de conn'aitre la composition et la structure des produits biologiques et alimentaires - d'associer ces techniques afin de suivre rationnellement les processus technologiques, la qualite et la conformite des produits a<U+00A0> la reglementation / - choisir la/les techniques les plus adequates en fonction du but recherche - mettre en place et conduire une analyse sensorielle et en analyser les resultats - conduire une analyse physico-chimique multi-technique et en analyser les resultats - conduire des analyse immunologiques ou microbiologiques et en analyser les resultats / - conduire une recherche bibliographique et rediger un rapport synthetique sur une problematique analytique donnee - s'organiser et travailler en groupe autour d'une problematique imposee - restituer des resultats et des analyses sous forme de presentation orale / NA / NA"
"39","BT07","FORMULATION, INNOVATION, NUTRITION / formulation ingredients additifs proprietes fonctionnelles nutrition agents texturants / Cette UV a pour objectif de donner une methode de travail dans le cadre de la formulation de produits alimentaires, depuis le cahier des charges jusqu'à la finalisation en passant par les etudes de vieillissement. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / - developper et expertiser un produit pour l'industrie agro-alimentaire a<U+00A0> partir d'un cahier des charges en integrant les notions acquises sur les constituants de base des aliments et sur les additifs alimentaires. / - m'aitriser les caracteristiques des ingredients et additifs alimentaires en vue de les appliquer pour le developpement d'une formulation alimentaire; - expertiser le produit sur les aspects rheologiques, nutritionnels et de vieillissement, ainsi que d'etablir l'etiquetage et les allegations associees au produit selon la reglementation en vigueur. / - coordonner le developpement du projet en groupe; - rediger un document technique et scientifique qui restitue l'analyse du marche, le positionnement innovant du produit, la demarche de developpement, les analyses realisees sur le produit; - presenter oralement le travail effectue. / - Etude des ingredients fonctionnels, des additifs, leur role dans la formule . Gelifiants, epaississants,sucres, edulcorants, matieres grasses, vitamines, proteines vegetales, laitieres' Aromes. - Apprendre a<U+00A0> formuler un produit : methode de travail, veille alimentaire et veille reglementaire, a<U+00A0> partir d'un concept ou d'un brief, validation des formules, etude de vieillissement des produits ( dlc, dluo ..) - Formulation : d'un arome alimentaire, de produits fonctionnels (Boissons, desserts) - Interactions aromes-produits finis : effets de la matiere grasse, du type de ferments, du type d'edulcorants sur la perception aromatique - Analyse des tendances actuelles: Nutrition et Sante, alicaments ou neutraceutiques, probiotiques, aliments riche en fibres, en omega 3, les acides gras trans ' et les tendances de demain / Etre capable de mettre mettre au point un produit alimentaire ( de la veille technologique jusqu'a<U+00A0> la realisation)"
"40","BT09","INDUSTRIES AGRO-ALIMENTAIRES - QUALITÉS DE L'ALIMENT / Biochimie qualite sensorielle analyse des dangers agro alimentaire / l'UV permet de sensibiliser l'etudiant aux grands problemes actuels des industries agro-alimentaires, sont abordes les aspects hygienes, analyse des risques, analyses sensorielles et mais egalement biochimiques qui constituent les fondements de la comprehension de cette branche. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / -Utiliser les savoirs fondamentaux necessaires a<U+00A0> la conception et la mise en oeuvre de solutions scientifiques et technologiques dans une problematique industrielle. - Executer les demarches liees aux problematiques de la qualite, de la reglementation, des normes et de l'analyse des risques en bio ingenierie. -Innover et remettre en cause des solutions existantes dans des contextes economiques, ethiques et reglementaires imposes. / - effectuer une recherche documentaire efficace; - integrer les notions de base en analyse sensorielle; - mettre en application la methode HACCP; - comprendre les enjeux biochimiques des process agro-alimentaires principaux. - appliquer les principes de base de l'analyse sensorielle pour l'evaluation des aliments. -Comprendre le fonctionnement de grands secteurs agro-alimentaires (produits laitiers, cerealiers, carnes,issus d'OGM, produits nouveaux et innovants...). - Evaluer les risques et appliquer la reglementation associee aux produits et a<U+00A0> leur production dans le domaine de l'agroalimentaire et des agro-ressources - Par la mise en 'uvre de projet, l'etudiant saura analyser une problematique dans le domaine des sciences des aliments et/ou des agro-ressources et mettre en place une demarche innovante de resolution. / NA / - Produits et Industries alimentaires - Analyse sensorielle (bases physiologiques des saveurs et des odeurs. degustation analytique) - Bases fondamentales du besoin alimentaire (nutrition,dietetique) - Etude de differents procedes de fabrication - Controle de la qualite et methodes d'analysse - Regles d'hygiene et methode HACCP. / a<U+008A>tre capable d'effectuer une recherche documentaire efficace. Avoir integre les notions de base en analyse sensorielle. Pouvoir mettre en application la methode HACCP. Comprendre les enjeux biochimiques des process agro-alimentaires principaux."
"41","BT10","RISQUES BIOLOGIQUES ET SÉCURITÉ ALIMENTAIRE / toxicologie evaluation des risques management des risques reglementation pesticides irradiation additifs cancer OGM mycotoxines / Il s'agit d'une introduction à la toxicologie alimentaire. Les differentes categories de molecules toxiques ou suspectees d'être nefastes seront decrites ainsi que les procedes alimentaires incrimines. Seront evoques dans une deuxieme partie, les aspects microbiologiques ainsi que les operations industrielles destinees à limiter ces risques. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / - analyser un probleme de securite alimentaire et d'y apporter des reponses scientifiques et technologiques. / - poser les fondements de la toxicologie moderne; - mesurer un risque. - analyser des evenements (rapportes par la presse en particulier) et de comprendre des phenomenes dans le domaine de la securite alimentaire. / - verifier et critiquer l'exactitude d'une analyse toxicologique; / 1. Bases de la toxicologie 2. Additifs utilises en agro-alimentaire 3. Risques microbiologiques 4. Qualite et securite / L'etudiant doit etre capable d'analyser un probleme de securite alimentaire et d'y apporter des reponses scientifiques et technologiques."
"42","BT21","BIOTECHNOLOGIES MOLÉCULAIRES ET GÉNIE GÉNÉTIQUE / bioinformatique vaccins ethique biotechnologie OGM genie genetique clonage recombinant legislation / Cette UV traite du developpement actuel du genie genetique et ses applications, et plus largement des biotechnologies moleculaires et cellulaires. Elle presente les avancees methodologiques majeures, tels que le clonage, la therapie genique et cellulaire, les OGM, etc... Elle en aborde, si necessaire, les aspects financiers, ethiques ou legislatifs. Elle traite egalement de l'impact de ces techniques sur la valorisation des matieres premieres. / Sciences du vivant / Biotechnologies / - acquerir une expertise dans le domaine des biotechnologies moleculaires / - faire decouvrir aux etudiants les secteurs concernes par l'innovation biotechnologie; - acquerir du vocabulaire et des concepts techniques sous-jacents; - susciter la comparaison des methodes ""traditionnelles"" et actuelles; - evaluer la portee des innovations recentes en ""collant"" a<U+00A0> l'actualite; - amener une reflexion personnelle sur le role de l'ingenieur et ses responsabilites dans les secteurs ""de pointe"" de la biologie. Ce qui implique de : - comprendre et appliquer des pratiques, des methodes principales en biotechnologie; - connaitre des secteurs economiques actuels en biotechnologie; - identifier des secteurs industriels en emergence; - prendre conscience des tendances de l'evolution actuelle de la biologie. / - travailler en equipe; - realiser une veille technologique; - utiliser des outils et des bases de donnees informatiques complexes; - rediger des rapports scientifiques et techniques. / Biologie moleculaire et Genie genetique Production recombinante en systemes procaryote et eucaryote Trangenese animale et vegetale Mutagenese, remodelage des proteines et modelisation Therapie genique et cellulaire Analyse et controle de l'expression des genomes. Clonage Genie immunologique et serotherapie Bioethique, legislation et societe / * Comprehension et application pratique des methodes principales en biotechnologie. * Connaissance des secteurs economiques actuels en biotechnologie. * Identification de secteurs industriels en emergence. * Prise de conscience des tendances de l'evolution actuelle de la biologie."
"43","BZ08","MODÉLISATION DES SYSTÈMES BIOMÉCANIQUES / Biomecanique Calculs de structures Modelisation geometrique Elements finis / l'UV presente les methodes et outils pour modeliser les systemes biomecaniques. / Sciences du vivant / Sante et medical / concevoir des biomateriaux, des systemes biomecaniques et biomimetiques (protheses, ortheses, materiaux biomimetiques..) / - modeliser de systemes biomecaniques; - evaluer le comportement mecanique d'une prothese dans un os; - concevoir des protheses. / - s'adapter a<U+00A0> travailler dans une equipe pluridisciplinaire; - rechercher des connaissances complementaires; - presenter une synthese bibliographique (donnees bibliographiques). / NA / NA"
"44","CF04","MÉCANIQUE DES FLUIDES NUMÉRIQUE ET COUPLAGES MULTIPHYSIQUES / NA / Le recours aux outils de mecanique des fluides numerique (acronyme CFD devient incontournable non seulement dans le processus de developpement d'un produit industriel mais aussi d'aide à la comprehension des phenomenes impliques pour l'ameliorer voire l'optimiser. Ce cours vise à fournir aux etudiant(e)s, une capacite d'expertise en calcul CFD completee de competences pour integrer les effets de couplages multiphysiques fluide/structure/thermique / Mecanique des fluides / Autres / mettre en pratique une demarche generale indispensable a<U+00A0> toute etude a<U+00A0> caractere industrielle requerant une expertise en CFD (Mecanique des fluide numeriques). Il sera a<U+00A0> meme de proposer les meilleurs choix de modelisation et de pouvoir estimer le degre de qualite des calculs realises ainsi que de mettre en avant les indicateurs sensibles a<U+00A0> de telles etudes. Enfin, l'application concrete sur un logiciel de plus en plus apprecie dans l'industrie et integrant les couplages multiphysiques constitue un plus indeniable a<U+00A0> leurs capacites d&#8217;expertise. / - selectionner les modeles et hypotheses de calculs les plus adaptes a<U+00A0> leur besoin; - mettre en place de fa<e7>on systematique, des analyses de sensibilite pour appuyer leurs choix de modelisation; - fournir des modeles de calculs a<U+00A0> meme d'ameliorer la comprehension des phenomenes physiques inherents; - realiser des activites de type prestation sur l'outil enseigne ou tout autre outil de CFD moyennant une tres rapide phase d'adaptation. / - developper son esprit critique; - travailler en groupe sur une problematique commune; - renforcer sa comprehension des physiques impliquees (fluide, thermique, structure) par le biais de l'outil numerique. / NA / NA"
"45","CM04","PROCÉDÉS INDUSTRIELS / separation conversion echange de chaleur bilan matiere bilan d'energie / presentation des operations fondamentales des procedes industriels, bilans de matiere et d'energie et application à la conception et au dimensionnement des procedes industriels. / Genie des procedes / Conception et integration des procedes / Concevoir un procede de transformation (identifier et articuler les operations elementaires) et etablir les bilans de matiere et d'energie / - mettre en oeuvre les methodologies de choix des operations et des equipements du genie des procedes - identifier les operations elementaires de separation, d'echange de chaleur et de reaction chimique -structurer l'architecture du procede. -appliquer le formalisme d'ecriture des bilans de matiere et d'energie -resoudre les bilans de matiere et d'energie -dimensionner un reacteur / -mettre en place une veille technologique et une capitalisation des savoirs -capitaliser un large champ de connaissances de base / I- Elements de conception des procedes industriels La separation et methodologie de choix d'une operation de separation L'echange de chaleur : cycle thermique du procede et principe de recuperation de chaleur La reaction chimique et criteres de choix des reacteurs II- Bilan -matieres sur les procedes - non reactionnels - reactionnels - mixtes (reaction + separation) III- Bilans d'energie sur les systemes reactionnels ouverts et fermes VI- Le procede de fabrication d'acide sulfurique. L'equilibre de la conversion du SO2 en SO3 Elements de cinetique chimique Calcul du reacteur de conversion du SO2 en SO3 -le reacteur a lit fixe iosotherme est impossible -le reacteur avec profil optimal de temperature -le reacteur adiabatique V- Quelques procedes de chimie organique industrielle - production du gaz de synthese - production de l'ammoniac - production du methanol - production du formaldehyde / L'etudiant ayant suivi cette UV doit avoir acquis les principes generaux qu'il saura appliquer pour concevoir un nouveau procede ou analyser un procede existant et proposer les modifications necessaires. Il doit egalement pouvoir ecrire correctement les equations de bilans de matiere et d'energie differentielles ou integrales necessaires pour les dimensionnements des equipements. Il doit savoir faire une recherche bibliographique, en faire un rapport ecrit et un expose oral."
"46","CM05","THERMODYNAMIQUE CHIMIQUE / Equations d'etat Grandeurs de melange Fugacite Activite Equilibres de phases / L'enseignement est essentiellement axe sur le calcul des equilibres de phases. Pour cela, nous abordons les notions d'equation d'etat, de grandeur de melange, de fugacite et d'activite. Les equilibres liquide/vapeur, liquide/solide et liquide/liquide sont alors traites. / Energetique - Energie / Fondamentaux : chaleur, thermodynamique / choisir les methodes et modeles thermodynamiques utiles a<U+00A0> la modelisation des equilibres de phases dans le domaine des procedes. / - identifier et mettre en oeuvre les concepts et les raisonnements de la thermodynamique appliques aux corps purs (equations d'etat, fonctions thermodynamiques ...) et aux melanges (grandeurs de melange, fugacite, activite ...) - identifier les proprietes physiques et les modeles thermodynamiques permettant les calculs d'equilibre avec ou sans reaction chimique - appliquer ces modeles a<U+00A0> la prediction des equilibres de phases des melanges binaires liquide/vapeur, liquide/liquide et liquide/solide - utiliser le ""module thermodynamique"" du logiciel de simulation de procedes ASPEN Plus / NA / Chap I : 1er et 2nd principes Chap II : Systemes de composition variable : grandeurs molaires partielles. Potentiel chimique. Fugacite. Coefficient de fugacite. Grandeur de melange. Activite. Coefficient d'activite. Grandeur d'exces. Chap III : Comportement de fluides reels : correlations. Facteur ascentrique. Equations d'etat. Chap IV : Calcul des equilibres entre phases / NA"
"47","CM06","CALCUL D'UNE OPÉRATION INDUSTRIELLE / Bilans matiere et energie dimensionnement d'appareillage calcul d'installation simulation de procede securite calcul de coa<U+00BB>t / il s'agit de dimensionner à l'aide des connaissances acquises tout au long du cursus une unite de production chimique, thermique, agro-industrielle. / Genie des procedes / Procedes de separation physique / - mener un projet de conception d'une unite industrielle. / - associer l'ensemble des connaissances acquises lors de la formation en Genie des Procedes; - mener un projet en groupe; - realiser une etude bibliographique approfondie (donnees physiques, thermodynamiques et cinetiques) ; - choisir les operations unitaires, faire les schemas PFD et PID; - dimensionner l'ensemble des equipements en utilisant les outils de simulation pertinents; - determiner les coa<U+00BB>ts d'investissement et de fonctionnement de l'unite industrielle; - realiser une etude de securite du procede; / NA / Le projet presente en general les etapes suivnates (certaines etant conduites en parallele) : 1- Definition de la quantite produite, en liaison avec la production mondiale et les quantites produites par differentes usines dans le monde. 2- Choix du procede etudie a<U+00A0> partir de l'analyse des differents procedes disponivbles dans la litterature - justification de ce choix. 3- Recherche des donnees necessaires au calcul du procede : donnees cinetiques, donnees physiques et chimiques. Utilisation des methodes d'estimation des donnees manquantes. 4- Etablissement du schema de procede retenu. 5- Etablissement des bilans matiere et energie. Les etudiants seront amenes a<U+00A0> emettre des hypotheses et formuler des choix, qu'ils devront justifier (choix du rendement et de la selectivite des reactions, choix du modele thermodynamique ...) 6- Calcul detaille de plusieurs unites de type different (reacteur, colonne de separation, echangeur...). 7- Determination du coa<U+00BB>t de fonctionnement et d'investissement de l'unite. En fonction du sujet et du temps disponible pour l'etude, les points suivants seront abordes : 8- Optimisation du procede, schema de controle de l'unite, procedures de demarrage et d'arret. Lors de la conception et de l'etude du proced, une attention particuliere devra etre portee aux implications sur l'environnement, au developpement durable et aux problemes de securite d'exploitation. / Etre capable d'effectuer en groupe un pre-projet de calcul d'une unite industrielle."
"48","CM08","CONCEPTION ET OPTIMISATION INTÉGRÉES DES PROCÉDÉS / NA / Apprendre à concevoir, reconfigurer et optimiser le fonctionnement d'une unite existante ou à creer. L'UV integrera les concepts de calcul des coûts, etude parametrique des unites et autres connaissances prealablement acquises liees à la conception/design des procedes dans la partie ""projet fil rouge"". / Non renseigne / Non renseigne / NA / NA / NA / NA / NA"
"49","CM15","SYSTÈMES COLLOÏDAUX - APPLICATIONS AGROALIMENTAIRES / milieux poreux gels poudres suspensions mousses emulsions interfaces / On appelle colloïdes les milieux disperses dans lesquels les objets disperses ont des dimensions de l'ordre de 1 à quelques centaines de nanometres. Cette UV presente les notions de base sur les proprietes physico-chimiques specifiques des colloïdes et des systemes disperses en vue de leur maîtrise lors de leur mise en oeuvre dans les procedes. / Genie des procedes / Genie Agroalimentaire et Biotechnologique / - mobiliser un large champ de connaissances de base et d'outils conceptuels specifiques aux systemes disperses tels que les emulsions, les mousses, les suspensions, les gels, les milieux poreux, les poudres pour piloter par l'aval les chaines de production, anticiper les eventuels problemes de qualite et concevoir de nouveaux produits. / - decrire, mesurer et modeliser l'etat et le comportement des systemes disperses; - identifier, mesurer et controler les principaux parametres gouvernant la stabilite des systemes disperses; - decrire et prevoir le comportement des molecules aux interfaces, par un cheminement allant du moleculaire au macroscopique; - comprendre les relations procede/structure/proprietes relatives aux systemes disperses; - compiler et interpreter les donnees de la litterature scientifique relatives a<U+00A0> ce domaine. / - utiliser des representations graphiques pour identifier et modeliser des phenomenes ou des comportements caracteristiques et determiner les parametres du modele; - comprendre un article scientifique; - travailler en groupe pour resumer sous la forme d'un poster les informations contenues dans un article scientifique et en faire la presentation oralement. / Systemes (=structures) : Emulsions, mousses, suspensions, gels, milieux poreux, poudres. Proprietes physico-chimiques : tension de surface, angle de contact, energie d'adhesion/de cohesion/de sorption, aire specifique, diametre de gouttes/bulles/particules/pores, activite de l'eau, temperature de transition vitreuse, viscosite/viscosite apparente, seuil d'ecoulement, module de conservation/module de perte, Procedes : Emulsification/desemulsification, sedimentation/decantation/floculation, adsorption, granulation, sechage/lyophilisation, surgelation/cristallisation, cuisson-extrusion. / Pouvoir comprendre les mecanismes a<U+00A0> la base du comportement des produits dans les procedes agro-industriels et predire les grandeurs physico-chimiques permettant leur m'aitrise dans les procedes."
"50","CM40","CATALYSE HÉTÉROGÈNE / Catalyse heterogene Adsorption Catalyseurs solides Cinetique chimique Cinetique physique Reacteurs catalytiques / Dans ce cours qui donne les concepts de base de la catalyse et de la cinetique heterogenes, on s'interesse aux differentes etapes de l'acte catalytique (diffusion, adsorption et reactions de surface), aux proprietes des catalyseurs solides et à leurs principales applications industrielles et environnementales. / Genie des procedes / Reacteurs / - Rechercher les proprietes texturales d'un catalyseur solide par les methodes d'adsorption de gaz. - Appliquer les concepts de base de la catalyse heterogene pour etablir les mecanismes des reactions solide/gaz et en deduire les lois cinetiques requises pour le dimensionnement des reacteurs catalytiques. / - Identifier les etapes d'un processus de catalyse heterogene. - Distinguer une adsorption physique et une adsorption chimique - Selectionner les conditions requises pour realiser la caracterisation texturale d'un catalyseur solide par adsorption de gaz. - Exploiter les resultats des caracterisations par adsorption pour quantifier les differents facteurs conditionnant l'activite catalytique d'un solide : surface specifique globale, porosite, taille et forme des pores, distribution de la taille des pores, taille, surface et dispersion des especes actives supportees. - Etablir le mecanisme d'une reaction chimique catalysee par un solide en adequation avec les differents modeles proposes dans la litterature. - Etablir une loi cinetique et selectionner les conditions adequates pour verifier par tests sa validite. - Utiliser les donnees cinetiques et autres caracteristiques du catalyseur pour dimensionner des reacteurs isothermes ideaux. / NA / NA / NA"
"51","CM70","TRAVAUX PRATIQUES DE GP (1) / distillation absorption extraction ebulliometrie diagramme ternaire / Le but de cette UV est d'illustrer de facon pratique les enseignements dispenses dans l'UV TF14 concernant differentes operations de transfert de matiere (distillation, absorption, extraction liq/liq) / Genie des procedes / Autres / - concevoir une installation et un protocole d'essai, de dimensionner un procede de transfert de matiere. / - appliquer et d'analyser le fonctionnement d'installations mettant en jeu une distillation continue, une extraction liquide/liquide et une separation par absorption gaz/liquide. / - transposer les demarches a<U+00A0> d'autres types de procedes; - realiser des bilans matieres; - realiser des bilans d'energie. / NA / NA"
"52","CM71","TRAVAUX PRATIQUES DE GP (2) / echangeurs changement d'etat reacteur distribution des temps de sejour filtration / Le but de cette UV est d'illustrer de facon pratique les enseignements dispenses dans la branche GP. (transfert de masse, transfert de chaleur, reaction chimique, regimes d'ecoulement, filtration) / Genie des procedes / Genie des procedes / - concevoir une installation et un protocole d'essai, dimensionner un procede de transfert de matiere et d'evaluer les limites de fonctionnement d'une installation. / - appliquer les notions abordees en GP; - analyser le fonctionnement d'installations mettant en jeu une filtration membranaire, un reacteur chimique (cinetique et distribution des temps de sejour), un evaporateur, des echangeurs; - rediger un rapport d'essai. / - integrer les notions abordees dans une chaine de transformations et de transposer les demarches a<U+00A0> d'autres types de procedes; - realiser des bilans matieres; - realiser des bilans d'energie. / NA / NA"
