"","Code","Description"
"26","BL40","Apres avoir aborde des notions d'embryologie et d'histologie, l'UV presente les principaux mecanismes qui contrôlent l'organisation et le developpement cellulaires. Les aspects technologiques seront particulierement soulignes."
"27","BM01","Cette UV presente les principes technologiques des principaux appareillages rencontres à l'hôpital."
"28","BM02","Notions de base de biomecanique des fluides: application aux ecoulements cardiovasculaires, à la biorheologie et à la microfluidique. Analyse des transferts de masse : application à la conception et l'utilisation d'organes artificiels. Une part importante du cours est consacree aux TP et à une etude personnalisee (en binôme) d'une fonction physiologique et de sa suppleance."
"29","BM03","L'objectif de l'UV est d'apporter une culture generale en robotique medicale aux ingenieurs biomedicaux en fin de cycle afin d'être capables d'integrer un projet de robotique medicale et de dialoguer avec des roboticiens dans un contexte en plein essor (robotique humanoïde, chirurgie mini-invasive et dispositifs d'imagerie robotises)."
"30","BM04","cette UV presente les notions utiles au developpement et à la conception d'appareillages fondes sur l'acquisition et le traitement de signaux, dans le cadre d'applications biomedicales."
"31","BM05","L'UV permet à l'etudiant de voir l'utilite des capteurs et instrumentations, decrits anterieurement dans le cadre d'explorations fonctionnelles presentees, le plus souvent, par des praticiens hospitaliers."
"32","BM06","cette UV a pour but de familiariser l'etudiant avec les techniques logicielles et materielles de traitement d'images medicales numeriques."
"33","BM07","le programme permet de cerner les principaux problemes qui se posent au cours de la conception et de l'evaluation des materiaux destines à être en contact à plus ou moins long terme avec les tissus humains."
"34","BM08","l'UV presente les methodes et outils pour modeliser les systemes biomecaniques."
"35","BMI4","Le corps humain peut être decrit comme un systeme de systemes biologiques en interaction. Les methodes de modelisation osteoarticulaire et musculo-squelettique et leurs interactions sont abordees. Ces modeles permettent de mieux comprendre et evaluer les deformations, la degenerescence des systemes osteoarticulaire et musculo-squelettique. Ceci peut être utile par exemple pour aider en chirurgie ou pour la reeducation"
"36","BT02","developpement de connaissances technologiques, en procede et equipements, concernant des operations caracteristiques de transformation et de conservation en agro-industrie."
"37","BT03","vue d'ensemble sur les techniques destinees à l'etude des tissus animaux et à la manipulation des tissus humains à des fins experimentales et biomedicales."
"38","BT06","Cette UV a pour objectif de donner aux etudiants les moyens de connaître la composition et la structure des materiaux biologiques en general et des aliments en particulier aux fins de suivre rationnellement les processus technologiques, la qualite et la conformite des produits à la reglementation."
"39","BT07","Cette UV a pour objectif de donner une methode de travail dans le cadre de la formulation de produits alimentaires, depuis le cahier des charges jusqu'à la finalisation en passant par les etudes de vieillissement."
"40","BT09","l'UV permet de sensibiliser l'etudiant aux grands problemes actuels des industries agro-alimentaires, sont abordes les aspects hygienes, analyse des risques, analyses sensorielles et mais egalement biochimiques qui constituent les fondements de la comprehension de cette branche."
"41","BT10","Il s'agit d'une introduction à la toxicologie alimentaire. Les differentes categories de molecules toxiques ou suspectees d'être nefastes seront decrites ainsi que les procedes alimentaires incrimines. Seront evoques dans une deuxieme partie, les aspects microbiologiques ainsi que les operations industrielles destinees à limiter ces risques."
"42","BT21","Cette UV traite du developpement actuel du genie genetique et ses applications, et plus largement des biotechnologies moleculaires et cellulaires. Elle presente les avancees methodologiques majeures, tels que le clonage, la therapie genique et cellulaire, les OGM, etc... Elle en aborde, si necessaire, les aspects financiers, ethiques ou legislatifs. Elle traite egalement de l'impact de ces techniques sur la valorisation des matieres premieres."
"43","BZ08","l'UV presente les methodes et outils pour modeliser les systemes biomecaniques."
"44","CF04","Le recours aux outils de mecanique des fluides numerique (acronyme CFD devient incontournable non seulement dans le processus de developpement d'un produit industriel mais aussi d'aide à la comprehension des phenomenes impliques pour l'ameliorer voire l'optimiser. Ce cours vise à fournir aux etudiant(e)s, une capacite d'expertise en calcul CFD completee de competences pour integrer les effets de couplages multiphysiques fluide/structure/thermique"
"45","CM04","presentation des operations fondamentales des procedes industriels, bilans de matiere et d'energie et application à la conception et au dimensionnement des procedes industriels."
"46","CM05","L'enseignement est essentiellement axe sur le calcul des equilibres de phases. Pour cela, nous abordons les notions d'equation d'etat, de grandeur de melange, de fugacite et d'activite. Les equilibres liquide/vapeur, liquide/solide et liquide/liquide sont alors traites."
"47","CM06","il s'agit de dimensionner à l'aide des connaissances acquises tout au long du cursus une unite de production chimique, thermique, agro-industrielle."
"48","CM08","Apprendre à concevoir, reconfigurer et optimiser le fonctionnement d'une unite existante ou à creer. L'UV integrera les concepts de calcul des coûts, etude parametrique des unites et autres connaissances prealablement acquises liees à la conception/design des procedes dans la partie ""projet fil rouge""."
"49","CM15","On appelle colloïdes les milieux disperses dans lesquels les objets disperses ont des dimensions de l'ordre de 1 à quelques centaines de nanometres. Cette UV presente les notions de base sur les proprietes physico-chimiques specifiques des colloïdes et des systemes disperses en vue de leur maîtrise lors de leur mise en oeuvre dans les procedes."
"50","CM40","Dans ce cours qui donne les concepts de base de la catalyse et de la cinetique heterogenes, on s'interesse aux differentes etapes de l'acte catalytique (diffusion, adsorption et reactions de surface), aux proprietes des catalyseurs solides et à leurs principales applications industrielles et environnementales."
"51","CM70","Le but de cette UV est d'illustrer de facon pratique les enseignements dispenses dans l'UV TF14 concernant differentes operations de transfert de matiere (distillation, absorption, extraction liq/liq)"
"52","CM71","Le but de cette UV est d'illustrer de facon pratique les enseignements dispenses dans la branche GP. (transfert de masse, transfert de chaleur, reaction chimique, regimes d'ecoulement, filtration)"
"53","DD01","Developper une culture de l'ingenieur en developpement durable. On s'attachera à y associer systematiquement les approches technologiques et scientifiques des « genies » aux approches « Sciences Humaines, Sociales et Economiques » pour mieux integrer les dimensions environnementales, societales et economiques des enjeux souleves."
"54","DD02","Les preoccupations environnementales sont croissantes au seins de nos societes et il est imperatif que le monde industriel en tienne compte. L'UV DD02 doit permettre au futur ingenieur UTCeen d'apprehender, au même titre que le triptyque Cout Qualite delais, la dimension environnementale lors de la conception d'un systeme. Il disposera des connaissances et competences pour mener à bien une demarche d'ecoconception."
"55","DF01","L'objectif de cette UV est de donner aux etudiants les competences necessaires à la maîtrise et supervision de processus de production industriels intelligents. Differentes approches issues de la maîtrise statistique des processus et de l'analyse de donnees (Machine Learning) seront presentees (regression, classification, clustering..). Une mise en situation sur des donnees industrielles permettra d'appliquer ces differents concepts."
"56","DF02","cette UV a pour objectif d'initier les etudiants aux methodes de sûrete de fonctionnement d'un systeme, en particulier, leur fiabilite. l'apport de differentes methodes de sûrete de fonctionnement, en phase de conception,developpement ou sur une ligne de fabrication de produit est mis en avant sur la base d'etudes de cas. L"
"57","DF03","situer et utiliser efficacement les methodes d'experimentation pour optimiser les performances d'un produit ou d'un processus dans le cadre d'une demarche d'ingenierie robuste. La methode des plans d'experiences (physiques et numeriques) ainsi que l'approche Taguchi pour une conception robuste sont etudiees."
"58","DF04","Dans le contexte de l'industrie 4.0, la quantite des donnees disponibles ne cesse de s'accroître. Leur exploitation à des fins de strategie de maintenance industrielle est de plus en plus d'actualite. Cette UV vous permettra d'acquerir les competences necessaires à la mise en place d'une strategie de maintenance industrielle tout en se questionnant sur les enjeux relatifs à l'ingenierie soutenable essentiels dans la construction du monde demain."
"59","DI01","Introduction au design industriel ; comprendre les metiers du design de produits ; decouvrir une activite professionnelle de conception centree sur l'humain face aux necessites industrielles de la creation de produits. A l'issue de l'enseignement, l'etudiant sera capable de conduire une demarche innovante de conception de produit simple."
"60","DI02","Decouvrir et comprendre le design graphique. Initiation aux pratiques plastiques et graphiques : comment donner du sens à l l'information traitee par des moyens graphiques et infographiques (indentite globale, typographies, symboles, couleurs, mises en page, packaging...). On y etudie et realise des formes bi-dimensionnelles (icones et scripto-verbal) creees et combinees entre elles."
"61","DI03","A partir d'un cahier des charges fourni, les etudiants explorent les differentes facettes de la construction formelle (marque, marketing, usage, ideation...) pour concevoir un produit coherent. Sont abordees des notions de methodologie de projet design, la modelisation dans Solidworks et le rendu realiste 3D. Le semestre s'acheve avec la realisation d'une maquette volume et la presentation des travaux devant un jury."
"62","DI04","Le terme de packaging associe deux notions, celles d'emballage et de design de l'emballage. Ne pas confondre avec le design de produit. Il s'agit essentiellement de creer un programme d'emballage(s), d'imaginer une gamme de volumes et leurs systemes d'assemblage/ouverture/fermeture, d'y appliquer les codes definis par une charte graphique prealable et/ou de les inventer. UV pour etudiant en filiere IDI, creative et technique."
"63","DI05","L'analyse de la valeur est une methode de conception ou de re-conception qui s'applique aux produits, services, processus et organisations. Elle est fondee sur l'analyse fonctionnelle, qui permet de questionner en profondeur les objets etudies, afin, selon les objectifs, de les optimiser ou d'innover, et dans tous les cas de les voir autrement."
"64","DI06","Concevoir un produit en prenant en compte la qualite percue par le client final, elaborer des concepts originaux et les argumenter, proposer une architecture produit, diversifier les attributs formels, recueillir les preferences d'utilisateurs, finaliser un concept."
"65","DI08","cette uv permet de maîtriser une situation de conception dans toutes ses phases, de demarche, de creativite, de choix d'orientation, de developpement debouchant sur une maquette de produit industrialisante. A l'issue de l'enseignement, l'etudiant sera capable de rediger un « brief design », de conduire une demarche de design thinking et de promouvoir le resultat."
"66","DS01","DS01 a pour objectif de preparer les etudiants ingenieurs au rôle de l'acoustique dans la conception des produits (qualite percue, identite acoustique), en s'appuyant sur une approche orientee utilisateur. Une sensibilisation aux aspects culturels et environnementaux viendra completer l'analyse marketing au travers de deux mini-projets."
"67","EG01","l'UV a pour objectif de sensibiliser les etudiants à une approche ergonomique des situations de travail et de la conception de produits en vue de leur adaptation aux operateurs et/ou aux utilisateurs. A l'issue de l'enseignement, l'etudiant sera capable d'appliquer les principes de l'approche ergonomique des situations de travail ou d'usage à la conception et à l'evaluation de produits ""grand public""."
"68","EI03","Ce cours a pour objectif d'apprendre aux etudiants à mieux apprehender les dimensions multiculturelles dans les organisations, dans un contexte où la complexite sociale et culturelle des espaces de travail va en s'accroissant. Il propose d'offrir une approche large, plurielle et critique de la notion de culture. La notion de culture est disputee et ambiguë. Le cours propose donc de croiser les approches de la culture en sciences sociales."
"69","EI04","L'intelligence economique et strategique(IES) regroupe les activites liees à la gestion de l'information dans le but de developper des strategies competitives. Cerner les enjeux de l'IES en entreprise pour les futurs ingenieurs, face aux opportunites et menaces, aux crises et changement de paradigme. L'initiation aux concepts, pratiques, methodes d'analyse permettra notamment de mieux apprehender comment agir."
"70","EI05","The European Union is your (future) playground! The objective of EI05 is to understand history, purpose and vision of the European Union; current challenges, threats and (your!) opportunities; institutional organization and work flows, decision making, budget; normalization, sustainable development, Bologna process, European Research Area, mobility in Europe;... It will enable you to understand present discussions in the EU and to contribute."
"71","EI06","L'UV propose un enseignement pluridisciplinaire sur la Chine, selon 3 axes : 1) les grandes lignes de l'histoire de la Chine, avec un focus sur l'histoire des sciences et des techniques chinoises 2) les principales caracteristiques de la pensee chinoise, ses principaux courants classiques et contemporains 3) les principaux aspects de la societe, de la culture et de l'economie chinoises contemporaines, avec un focus sur la ville de Shanghai"
"72","EL01","Cette UV est destinee à donner aux futurs ingenieurs, quelle que soit leur specialite, les connaissances fondamentales en electromagnetisme. La theorie est developpee sur la base de systemes technologiques caracteristiques. Elle est completee par une initiation au calcul du champ electromagnetique par la methode des elements finis."
"73","EL02","EL02 aborde le domaine de l'electricite appliquee dans un contexte industrielle ou domestique. Il s'interesse en particulier aux problematiques de gestion et de distribution de l'energie electrique. Son objectif est de donner des connaissances generales mais aussi des competences pratiques dans le domaine du calcul, du dimensionnement et de l'exploitation des installations electriques de puissance."
"74","EN14","A l'issue de l'enseignement, l'etudiant sera capable d'analyser ou concevoir des systemes realises à partir de fonctions electroniques analogiques. Differents aspects de l'electronique sont abordes : amplification, filtrage, fonctions de conversion, interfaces de puissance, alimentation et transmission de signaux."
"75","EN21","l'UV est destinee à constituer une initiation à l'electronique analogique, ses methodes et ses moyens. Apres un rappel sur les calculs de circuits electriques, on introduit les notions de quadripôle, de fonction de transfert et de Diagramme de Bode puis les circuits electroniques à base d'amplificateur operationnel. La 2e partie part des proprietes des semi-conducteurs pour comprendre le fonctionnement des composants et leur mise en oeuvre."
"76","EV01","caracterisation et analyse des differents milieux constituant notre environnement (eau, air, sol). Procedes et technologies de traitement des effluents gazeux, aqueux et dechets."
"77","EV02","La conception de procedes (plus) propres est un defi transdisciplinaire qui necessite la mise en place de connaissances et competences scientifiques, techniques, manageriales, economiques, juridiques, etc. EV02 est structure en 4 parties : Introduction à la conception de procedes propres ; Methodologies d'aide à la prise de decision (ACV, bilan carbone, evaluation multicritere) ; Aspects reglementaires et societaux ; Valorisation des dechets"
"78","EV03","L'enseignement est axe sur la connaissance et l'application des principes de fonctionnement des divers procedes de separation (filtration, decantation, technologies membranaires...). L'accent est mis sur les applications environnementales, telles que les procedes de traitement de l'eau. A l'issue de l'enseignement, l'etudiant sera capable de concevoir et de dimensionner des unites de traitement en selectionnant les technologies pertinentes."
"79","FQ01","Management de la qualite en conception et en production OMQ QFD, analyse fonctionnelle, organisation technique du produit, gestion de configuration, Work Breakdown Structure,management systeme et normes ISO 9000, normalisation, evaluation de la conformite, certification homologation, economie de l'ingenierie."
"80","FQ04","Qualite et principales exigences reglementaires appliquees dans les domaines industriels biomedical, pharmaceutique et agro-alimentaire. Directives et exigences reglementaires, normes, marquage CE, materio-vigilance,IFS,BRC, norme ISO 22000, bonnes pratiques de laboratoire, bonnes pratiques de fabrication,metrologie, cycle de vie d'un medicament. Approches metiers: responsable qualite et pharmacie."
"81","GA38","Enseignement à distance visant à former à la creativite industrielle du point de vue theorique et pratique Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et la protection industrielle"
"82","GE10","L'UV a pour objectif d'introduire les grandes notions utiles à la comprehension du fonctionnement de l'economie (production, repartition et depense, globalisation de l'economie, financement de l'economie, monnaie, croissance, emploi et politiques economiques)."
"83","GE13","Tandis que les medias font deferler chaque jour des images du monde entier de nouveaux evenements de toute nature, qui occasionnent nombre de victimes et de dommages, il s'agit de proposer un enseignement des risques qui evite tout catastrophisme. Dans un contexte d'urbanisation rapide à l'echelle mondiale, d'elevation du niveau de vie, la catastrophe est de moins en moins bien acceptee."
"84","GE15","GE15 Initiation à la creation d'entreprises innovantes La creation d'une entreprise repose sur les personnes qui elaborent et batissent le projet. ""La plus belle creation d'entreprise, c'est Vous"", en premier lieu. Les etudiants, par groupe de 4, developpent une idee et creent une entreprise avec une demarche structuree ORIHA pour produire un BP, sesame pour les partenaires exterieurs."
"85","GE20","L'UV porte sur l'analyse conjointe des nouveaux facteurs de competitivite des entreprises (services, marque, publicite, innovation, cooperation, reseau) et des mutations de leur environnement productif et concurrentiel (numerique, globalisation, economie de la connaissance, financiarisation). Dans cette perspective, les concepts de l'economie industrielle seront mobilises et discutes lors de revues de presse, etudes de cas et exposes thematiques."
"86","GE21","Le brevet facilite-t-il l'innovation ? Peut-on gerer l'innovation radicale (disruption) ? Les innovations de type crypto-monnaies (ex: Bitcoin) ont-elles un avenir (durable) ? Telles sont quelques-unes des questions que nous pourrons soulever - et dont vous pourrez vous saisir via un projet en equipe - en cours ou en TD, au fil du semestre. Le cours presentera les grandes theories economiques sur l'innovation et le numerique, avec des exemples."
"87","GE22","l'UV traite les questions se rapportant à l'echange international et de biens et services, les problemes monetaires et financiers internationaux."
"88","GE24","GE24 permet à l'ingenieur de comprendre les specificites du financement de la R&D. Activite incertaine et complexe, elle requiert une ingenierie financiere où l'incertitude est creatrice de valeur et où l'on prend des options dans un processus de decision pluriannuel. On utilise les dispositifs de financement et d'incitation comme le credit impôt recherche et partenariats entreprise recherche pour faciliter la cooperation ingenieur investisseur."
"89","GE25","Presentation de la fonction production : donnees techniques, missions, outils et methodes, indicateurs de performance. La recherche de competitivite par la chasse aux coûts inutiles (non qualite, stocks excessifs, delais superflus) : analyse de la valeur, pilotage de la production en flux tendus, maîtrise d'une logistique globale (du fournisseur au client)."
"90","GE26","l'UV presente les outils conceptuels, methodologiques et operationnels de la Gestion des Ressources Humaines."
"91","GE27","A partir de cas d'entreprises, le cours traite les budgets de tresorerie, propose une analyse des bilans, comptes de resultat et annexes et aborde les possibilites de financement des investissements. Ainsi, avec des approches mensuelles, annuelles et pluriannuelles, l'ingenieur developpe une comprehension des logiques financieres qui conditionnent ses decisions et interactions avec clients, fournisseurs et partenaires."
"92","GE28","Cette UV apporte des connaissances theoriques et pratiques sur le droit de la propriete intellectuelle (droit d'auteur, brevets, marque...), ainsi que sur le droit applicable aux valeurs immaterielles non protegees par ce droit (donnees, algorithmes, savoir-faire...). Elle permet aux futurs ingenieurs de comprendre les enjeux contemporains de la propriete intellectuelle, notamment ceux induits par le passage dans une economie numerique."
"93","GE29","l'UV presente les processus de management des affaires dans l'environnement international complexe et competitif. l'objectif est de comprendre l'organisation du systeme de chaînes de valeur globales et de se former aux strategies d'internationalisation des entreprises, y compris aux strategies d'e-business."
"94","GE36","L'UV familiarise les etudiants aux fondamentaux du marketing, explique les enjeux economiques et commerciaux de l'entreprise dans son environnement et permet de comprendre la fonction dans l'organisation interne."
"95","GE37","Cette UV d'initiation à la gestion des projets permet aux etudiants d'acquerir le vocabulaire, les concepts et les outils necessaires à la gestion des projets."
"96","GE38","Nous abordons dans l'UV la creativite industrielle du point de vue theorique et pratique. Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions de savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et de la protection industrielle"
"97","GE39","Comment reperer et caracteriser dans l'environnement les opportunites nouvelles? Comment evaluer le potentiel d'un projet innovant? Y a t-il un marche? S'inscrit-il dans votre strategie? Quels seraient vos futurs clients? Vous entamerez une demarche à travers un cas reel pour passer de l'analyse de l'environnement à une decision de lancement sur le marche."
"98","GE40","Cette UV de perfectionnement au management des projets permet d'acquerir des competences pour recruter et conduire des equipes projet (cours, exercices theoriques et temoignages de chefs de projet).A l'issue de cette uv, l'etudiant sera capable d'organiser, de piloter un projet industriel complexe en tant que chef de projet."
"99","GE90","l'UV consiste à exploiter les travaux du seminaire de l'inter-semestre «Organisations, innovations et international». l'etudiant interroge ainsi des specialistes de sciences economiques et gestion venus debattre de leurs recherches sur des questions contemporaines ouvertes. La participation au seminaire est necessaire pour s'inscrire à cette UV. Ce travail est comparable à une IR."
"100","HE01","Etude critique de la dynamique historique des sciences et de ses enjeux methodologiques et philosophiques. Y a-t-il une demarche propre aux pratiques scientifiques ? Comment penser l'origine et les (r)evolutions historiques des sciences, mais aussi les relations entre sciences, techniques et societes ?"
"101","HE03","Objectifs de l'UV : enrichir les cultures scientifique et philosophique. Y sont abordees des questions fondamentales, ainsi celle des rapports entre logique et philosophie notamment pour la logique antique et medievale, et entre logique contemporaine et les disciplines connexes que sont les mathematiques et l'informatique."
"102","HT01","L'UV a pour objectif de sensibiliser l'etudiant à la relation technique/technologie/societe, grace aux apports de l'histoire, de la sociologie, de la philosophie et de l'anthropologie : presentation des objets techniques, des principaux moments de l'histoire des techniques, des revolutions industrielles, des lois d'evolution et du fonctionnement de la technologie."
"103","IA01","L'UV permet aux etudiants : (1) de maitriser les notions et techniques de base de l'Intelligence Artificielle, (2) de mettre en oeuvre une programmation symbolique de type fonctionnel. Les notions et techniques seront introduites à partir d'applications developpees au moyen du langage LISP."
"104","IA02","Cette UV a pour objectif de faire decouvrir des methodes de resolution de problemes via la demonstration automatique et la programmation logique, ou par l'application de techniques de recherche."
"105","IA03","L'UV IA03 comprend une analyse de la problematique de capitalisation des connaissances, ainsi qu'une etude de technologies et methodes de traitement d'information mobilisables pour repondre à l'attente des entreprises."
"106","IA04","Le but de ce cours est d'introduire les systemes distribues et la technologie multi-agents qui connaissent un grand essor dans les architectures informatiques. Ces systemes font intervenir des entites autonomes, des agents reactifs et des agents intelligents (cognitifs). Les approches proposees proviennent de l'intelligence artificielle (distribuee), du choix social computationnel et de la theorie de la decision."
"107","IC01","la culture a ses objets. l'UV etudie comment le numerique permet de deployer une industrialisation de plus en plus massive des contenus et des objets culturels et en analyse les diverses tendances. Les TD portent sur des etudes de cas liees aux convergences informatique/reseau, contenu/service. l'UV met en perspective le rôle et la place de l'ingenieur dans ce domaine."
"108","IC05","L'UV porte sur la science des reseaux et la cartographie d'information dans l'analyse de donnees (bases de connaissances, reseaux sociaux, donnees web, big data, reseaux de concepts...)."
"109","IC06","Les jeux video sont desormais reconnus comme creations artistiques et leur industrie occupe une place importante dans l'economie mondiale. IC06 propose une entree en matiere au monde des jeux video : comprendre les enjeux, connaître la mise en oeuvre industrielle et savoir mener à bien un projet de production. Les seances de travaux diriges donnent lieu à la conception d'un jeu video et à sa realisation, avec ou sans programmation."
"110","ICX7","L'enseignement vise à acquerir et s'approprier les concepts relatifs à l'analyse socio-economique des dynamiques des acteurs innovants dans l'entreprise. Les questionnements principaux portent sur les caracteristiques d'un milieu favorisant l'emergence d'une innovativite organisationnelle,les modalites de constitution d'un tel milieu, son animation et sa gouvernance globale."
"111","INF2","L'objectif est d'aborder les concepts et methodes de la programmation à travers l'utilisation du langage oriente objet Python pour apprendre à developper des applications informatiques traitant des problematiques des sciences de l'ingenieur."
"112","IQ01","L'objectif est d'amener les etudiants à maîtriser les concepts de l'informatique quantique (qubits, registres quantiques, etats intriques, portes quantiques) et à comprendre les principaux algorithmes connus (algorithmes de recherche, algorithmes bases sur la transformee de Fourier quantique) et leurs applications (en particulier pour la factorisation mais egalement pour la recherche de solutions et la cryptographie)."
"113","ISCF","Dans cette UE, les etudiants travailleront sur un projet par groupe multi-competences de 4 à 6 etudiants. L'objectif est de mettre en pratique les concepts, methodes et outils lies à leurs competences propres sur un projet tout en favorisant les echanges avec les autres etudiants du groupe ayant des competences dans d'autres domaines."
"114","LA00","En un semestre, les vrais debutants en allemand acquierent les bases pour faire face à des situations de la vie courante et nouer un premier contact interpersonnel dans un contexte professionnel."
