"Code","Intitule","Credits","Domaine","Theme","Categorie","Enseignee_en","Responsable_Automne","Responsable_Printemps","Description","Niveau_conseille","Prerequis","Final","Conditions_evaluation","Conditions_attribution","Mots_cles","Objectif_formation","Objectifs_pedagogiques_specifiques","Objectifs_pedagogiques_transverses","Programme","Resulat"
"GE27 "," GESTION FINANCIÃˆRE DE L'ENTREPRISE","4","Sciences economiques et de gestion","Sciences economiques et de gestion","Technologie et Sciences de l'Homme","Automne","Christine DIVRY-GROFF "," ","A partir de cas d'entreprises, le cours traite les budgets de tresorerie, propose une analyse des bilans, comptes de resultat et annexes et aborde les possibilites de financement des investissements. Ainsi, avec des approches mensuelles, annuelles et pluriannuelles, l'ingenieur developpe une comprehension des logiques financieres qui conditionnent ses decisions et interactions avec clients, fournisseurs et partenaires."," Tous niveaux","","Oui","Automne : Median 1 examen sur table, note individuelle, 30% Median 2 dossier fait en groupe de 4 a  5 etudiants (rapport et presentation intermediaire), note collective, 30% Final examen sur table, note individuelle 40% ","Automne : Note globale moyenne > ou = a  10 Aucune note inferieure a  7 "," Budgets resultat  SIG CAF bilans fonds de roulement tableaux de financement rentabilite actualisation ","analyser l'ingenierie financiere et mieux defendre ses propositions dans les arbitrages de l'entreprise. ","- maitriser les logiques liees a  la diversite des ressources financieres telles que la capacite d'autofinancement, les apports en fonds propres et les emprunts en fonction des coa»ts et des risques associes; - examiner la complementarite entre les budgets de tresorerie et les documents de synthese publies (bilans et compte de resultat); - etablir et interpreter les tableaux de financement; - interpreter les criteres qui actualisent la valeur des gains futurs lies a  un investissement ou encore des remboursements d'un emprunt; - etudier les comptes d'entreprises technologiques qui respectent l'obligation legale de publier leurs comptes. ","- interagir avec le controleur de gestion, les clients, les fournisseurs et autres partenaires; - augmenter ses degres de liberte decisionnelle et ses possibilites d'actions et de realisations. ","Trois themes sont abordees : Le court terme et la m'aitrise de la tresorerie, synthese des flux monetaires lies aux activites interdependantes de l'entreprise (investissement, production, commercialisation) en environnement fiscalise. L'analyse financiere et l'articulation des decisions du cycle long et du cycle court de l'entreprise oa¹ l'on cherche a  saisir le potentiel de l'entreprise (notions d'amortissement et de provision, capacite d'autofinancement et fonds de roulement, tableaux de financement) Les criteres d'evaluation d'un projet d'investissement et le choix du mode de financement (valeur actualisee nette, etc.)","Le futur ingenieur doit etre en mesure d'interpreter l'information financiere des entreprises avec lesquelles il travaillera (l'entreprise qui l'emploiera aussi bien que ses fournisseurs et clients). Il doit pouvoir comprendre la logique des directions financieres et anticiper leurs criteres notamment pour mieux argumenter et defendre ses projets. Enfin il doit etre capable de tirer partie des publications issues des enquetes entreprises de l'INSEE (profil de performance, credit-bail, sous-traitance, etc.)"
"GE28 "," Ã‰CONOMIE ET DROIT DE LA PROPRIÃ‰TÃ‰ INTELLECTUELLE (INDUSTRIELLE ET ARTISTIQUE) DANS UNE Ã‰CONOMIE REPOSANT SUR LA CONNAISSANCE","4","Sciences economiques et de gestion","Sciences economiques et de gestion","Technologie et Sciences de l'Homme","Automne, Printemps","Frederic HUET ","Frederic HUET ","Cette UV apporte des connaissances theoriques et pratiques sur le droit de la propriete intellectuelle (droit d'auteur, brevets, marque...), ainsi que sur le droit applicable aux valeurs immaterielles non protegees par ce droit (donnees, algorithmes, savoir-faire...). Elle permet aux futurs ingenieurs de comprendre les enjeux contemporains de la propriete intellectuelle, notamment ceux induits par le passage dans une economie numerique.","tous niveaux","aucun sauf le desir de comprendre comment le numerique transforme les questions de la propriete intellectuelle","Oui","Automne : 50% controle continu (expose collectif, devoirs personnels, participation orale) 50% Examen final Printemps : Controle continu (50%) : - expose / rapport (travail collectif) - participation individuelle Examen final (50%)","Automne : Note >10 Printemps : Moyenne globale >10 Examen final >7"," innovation economie numerique propriete intellectuelle brevet economie numerique propriete intellectuelle Certificat d'obtention vegetale droit d'auteur droit d'auteur ","Reperer et comprendre les enjeux de la propriete intellectuelle et de son renouvellement dans une economie fondee sur la connaissance. Articuler ces enjeux de propriete intellectuelle avec les politiques et strategies d'innovation.","- identifier des connaissances de base du systeme juridique de la propriete industrielle et intellectuelle, a  partir d'une analyse economique des droits de propriete et des outils theoriques; - identifier les enjeux economiques des formes de contrats adaptes aux mutations en cours et des politiques d'incitation et a  la gestion de l'innovation; - comprendre les fondements, enjeux et pratiques de la propriete intellectuelle industrielle, litteraire et artistique; - distinguer les differents droits applicables, savoir dechiffrer, negocier et rediger les clauses des contrats d'autorisation; - comprendre les principes d'interpretation et d'application du droit positif (textes applicables en droit français, communautaire et international eclaires par les jurisprudences essentielles). ","- comprendre l'impact des transformations de l'economie numerique, des modeles d'affaire du numerique sur l'execution de la propriete intellectuelles et les nouvelles tendances qui se manifestent ","Partie 1- Economie de la propriete intellectuelle (Yann Moulier Boutang) 1. Introduction : (Problematique : une mutation des composantes des droits de propriete) 2. Pre-requis economiques et juridiques du systeme juridique de la propriete industrielle. (Economie des droits de propriete ; Analyse juridique de la propriete ; Economie des coa»t de transaction et specificite des contrats selon les actifs en jeu). 3. Presentation analytique et genese historique des types de contrats reglant l'appropriation des actifs immateriels (Brevets, savoir-faire et marques) 4. Problemes recents de definition et d'execution des droits de propriete (La brevetabilite en question ; L''execution des droits de propriete industrielle) 5. Conclusion Quel modele economique possible dans des economies de l'immateriel reposant sur l'innovation et la connaissance ? Partie 2 Droit de la propriete intellectuelle et artistique (Melanie Dulong de Rosnay) 1. Historique de la propriete litteraire et artistique 2. La definition d'une oeuvre. (Les objets protegeables, les bases de donnees et les logiciels, les droits connexes a  la propriete litteraire et artistique) 3. La definition de l'auteur. 4. Les droits moraux. (le droit de divulgation, le droit au respect, le droit de paternite, le droit de retrait) 5. Les droits patrimoniaux et leur mise en oeuvre. (Droit de representation, droit de reproduction et droit d'adaptation, les specificites sur Internet (lien hypertexte); Les exceptions et limitations aux droits exclusifs ; Les droits voisins des
 artistes et interpretes, des producteurs de phonogrammes et videogrammes, et les droits des producteurs de bases de donnees) 6. Le droit a  l'image 7. L'exercice individuel des droits : les contrats 8. La gestion collective (Les systemes de gestion numerique : les mesures techniques de protection et d'information, les contrats Creative Commons) 9- Les procedures de la contrefaçon","- Amelioration du maniement du raisonnement economique et juridique - M'aitrise de l'environnement juridique de l'entreprise - Evaluation du patrimoine et du potentiel des connaissances, des savoirs faire, de la gestion des competences dans une economie numerique fondee sur la connaissance et l'innovation. - Capacite d'evaluation des formes pertinentes de valorisation des actifs immateriels de l'entreprise ou des organismes culturels publics pour les differents acteurs"
"GE29 "," GESTION ET MANAGEMENT INTERNATIONAL DE L'ENTREPRISE","4","Sciences economiques et de gestion","Sciences economiques et de gestion","Technologie et Sciences de l'Homme","Automne, Printemps","Az-Eddine BENNANI ","Az-Eddine BENNANI ","l'UV presente les processus de management des affaires dans l'environnement international complexe et competitif. l'objectif est de comprendre l'organisation du systeme de chaÃ®nes de valeur globales et de se former aux strategies d'internationalisation des entreprises, y compris aux strategies d'e-business.","tous niveaux","","Oui","Automne : projet - expose examen final : presentation des projets et dossier participation Printemps : Projet Expose Examen final Participation","Automne : Rapport ecrit : 20 % Expose oral : 20 % Examen final : 40 % Participation : 20 % Printemps : Rapport ecrit : 20 % Expose oral : 20 % Examen final : 40 % Participation : 20 %"," organisation strategie d'implantation joint venture recrutement marketing approvisionnement logistique juridique fiscalisation ","utiliser des outils pratiques pour analyser et elaborer la strategie d'une entreprise internationalisee du type international, mondial, multinational ou transnational. ","- decrire et construire les strategies de base : administration, marketing des produits et service, approvisionnement, innovation organisationnelle ; - decrire et construire les strategies des intrants : financement, propriete, management, recrutement; - decrire et construire les strategies structurelles : loi et legislation. ","- evaluer l'importance du numerique et son impact sur la strategie et le management de l'entreprise internationalisee. ","- Introduction et definitions - Le management local des affaires - Le management international des affaires - Les etapes de l'internationalisation d'une entreprise - L'entreprise en tant que systeme global - L'entreprise internationalisee et ses caracteristiques organisationnelles : o La mondiale o La transnationale o La multinationale o L'international - La ch'aine et le systeme de valeur internationalises - Le cercle de decision : o La strategie d'administration o La strategie marketing o La strategie d'approvisionnement o La strategie de recrutement o La strategie du management o La strategie de la propriete o La strategie financiere o La strategie relative a  la loi o La strategie de controle - Les variables du systeme international o Le systeme politique o Le systeme legislatif o Le systeme economique o Le systeme des elites o Le type de societe et la culture o Le rattrapage economique o Le modele de reference o Le systeme de communication o La taille des marches - LES ETUDES DE CAS o HP o XIS o COMSCAN o VIVENDI UNIVERSAL o FRANCE TELECOM o RENAULT/NISSAN o NESTLE o CARREFOUR o D'AUTRES ETUDES DE CAS REELS EN FONCTION DE L'ACTUALITE INTERNATIONALE DES ENTREPRISES","A l'issue de cette UV, les etudiants ont les connaissances a  la fois pratiques et theoriques pour pouvoir exercer leur metier d'ingenieur dans une entreprise internationalisee du type multinationale, mondiale, internationale ou transnationale. L'etudiant est prepare a  tenir compte de cet environnement complexe et des aspects strategiques au niveau international. On peut mentionner des profils comme celui d'ingenieur charge d'affaires a  l'international (cf fiche metier APEC)."
"GE36 "," MARKETING","4","Sciences economiques et de gestion","Sciences economiques et de gestion","Technologie et Sciences de l'Homme","Automne, Printemps","Didier SERRANT ","Didier SERRANT ","L'UV familiarise les etudiants aux fondamentaux du marketing, explique les enjeux economiques et commerciaux de l'entreprise dans son environnement et permet de comprendre la fonction dans l'organisation interne.","tous niveaux"," aucun","Oui","Automne : - un median comptant pour 30% de la note finale - un examen final portant sur une mini etude de cas individuel : 30% - Un projet marketing par equipe de 3 ou 4 etudiants, a  soutenir devant jury avec rapport ecrit :40% Evaluation individuelle : 60 % de la note finale ( examen final); Note eliminatoire : examen final <6/20 Evaluation du projet : 40 % de la note finale (rapport ecrit + soutenance orale). Printemps : - Un examen median(portant sur questions de cours) et un examen final (portant sur une mini etude de cas individuel). - Un projet marketing par equipe de 3 ou 4 etudiants, a  soutenir devant jury (avec rapport ecrit). Evaluation individuelle : 60 % de la note finale (examen median + examen final); Note eliminatoire : examen final et/ou median <6/20 Evaluation du projet : 40 % de la note finale (rapport ecrit + soutenance orale).","Automne : Moyenne superieure ou egale a  E. Printemps : Obtention de l'UV a  cote E."," esprit methode organisation etudes strategie E-CRM planification lancement nouveaux produits communication ","- analyser l'environnement strategique, economique, productif, concurrentiel et comprendre les decisions strategiques et operationnelles de l'entreprise liees a  la creation, au developpement d'un produit, de la clientele, du chiffre d'affaires et de la rentabilite.","- situer la fonction marketing dans l'entreprise; - analyser le marche et l'environnement; - maitriser la culture marketing dans les echanges internes; - contribuer a  la reflexion marketing de l'entreprise. ","- travailler en mode projet; - partager les connaissances; - collecter de l'information et l'utiliser efficacement; - avoir un regard critique sur l'existant pour mieux avancer. ","Decouverte des etudes de l'organisation,; de la communication, de la distribution, , de la politique de prix, du concept produit et de la planification a  travers une methodologie souple mais aussi rigoureuse.","L'ingenieur doit etre a  l'avenir capable de comprendre et de prendre part a  l'elaboration des strategies de l'entreprise susceptibles d'ameliorer ses resultats. Il sera sensibilise aux enjeux economiques mais aussi aux risques que peuvent ou doivent prendre les entreprises pour demeurer performantes face a  une concurrence directe et indirecte (contrefaçon). Le but essentiel de l'entreprise actuelle etant de satisfaire les besoins du consommateur et de lui vendre ce qu'il attend d'elle."
"GE37 "," GESTION DE PROJET","6","Outils et methodes de l'ingenieur","Techniques manageriales","Techniques (TM-ST)","Automne, Printemps","Manuel MAJADA ","Manuel MAJADA ","Cette UV d'initiation Ã  la gestion des projets permet aux etudiants d'acquerir le vocabulaire, les concepts et les outils necessaires Ã  la gestion des projets.","A partir de GX02","","Oui","Automne : Calcul de la note pour l'UV avec cette repartition : Cas flux : 40% note de groupe (revue de definition, revue d'avancement, revue finale, classeur projet) Cas pedagogiques : 10% note de groupe Median : 20% note individuelle (axe sur les connaissances theoriques) Final : 30 % note individuelle (axe sur l'application des connaissances theoriques) Printemps : Calcul d'une note pour l'UV avec cette repartition : Â·Cas flux 40% note de groupe (revue de definition, revue d'avancement, revue finale, classeur projet) Â·Cas pedagogiques 10% note de groupe Â·Median 20% note individuelle ( axe sur les connaissances theoriques) Â·Final 30 % note individuelle (axe sur l'application des connaissances theoriques)","Automne : Attribution de l'UV si la note globale est superieure a  10 et si la note du final est superieure ou egale a  7. Printemps : Attribution de l'UV si la note globale est superieure a  10 et si la note du final est superieure ou egale a  7."," Gestion Projet Delai Coa»t Tache Coordination Pilotage Decision Planning Budget ","M'aitriser les techniques specifiques de gestion de projet en mettant en oeuvre les fondamentaux de la gestion de projet incluant les phases d'avant-projet (faisabilite, initiation), definition (planification, organisation, budget) et de realisation (mise en oeuvre, controle et cloture).","- preparer les decisions de lancement ou d'arret des projets : realisation de business plan, d'etude de faisabilite technico-economique, etude de rentabilite, cahier des charges preliminaire; - clarifier les missions, les objectifs, les contrats; - organiser le projet : preparer les plannings, les budgets, choisir son equipe et repartir les taches, m'aitriser les delais et les coa»ts, anticiper le risque; - piloter l'action, gerer l'information, motiver et mener l'equipe au succes; - capitaliser l'experience acquise et organiser le retour d'experience.","- travailler de maniere collaborative","Â·Definitions et enjeux. Methode generale de gestion de projet. Processus generiques : coa»ts, delais, performances, ressources, achats, risques. Phases du projet, jalons, acteurs du projet (MOA /MOE). Â·Le referentiel de gestion : Note de clarification, structuration du projet (PBS, WBS, OBS), notion de tache, planification et elaboration du budget de reference. Introduction du guide interactif multimedia d'aide a  la gestion de projet Â« PACK ASSO Â» en vue de la formation a  distance. Â·La phase d'avant-projet : Methode de gestion en phase d'avant-projet. Dossier d'avant projet : Faisabilite technique et economique d'un projet. Cahier des Charges sommaire.Analyse preliminaire des risques. Â·La phase de definition : La constitution de l'equipe projet, la definition des roles. Analyse preliminaire des risques. Â·La phase de realisation : piloter le projet. Les differents niveaux de pilotage et de gestion. Le suivi operationnel : Le controle de l'avancement, la gestion du temps, la m'aitrise des coa»ts. Du suivi au pilotage : La prise de decision, les tableaux de bord projet, le reporting. Les differentes revues de projet. La conduite de reunion et le management de l'equipe. ",""
"GE38 "," MANAGEMENT ET OUTILS D'AIDE Ã€ LA CRÃ‰ATIVITÃ‰ INDUSTRIELLE ET Ã€ L'INNOVATION","6","Outils et methodes de l'ingenieur","Techniques manageriales","Techniques (TM-ST)","Automne, Printemps","Pascal ALBERTI ","Pascal ALBERTI ","Nous abordons dans l'UV la creativite industrielle du point de vue theorique et pratique. Nous mettons en oeuvre des outils d'aide Ã  la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions de savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et de la protection industrielle","GX 03 minimum","","Oui","Automne : Realisation d'un projet industriel. Un rapport et une soutenance de fin d'etude seront demandes. Examen final. Controle continu. Printemps : Realisation d'un projet industriel. Un rapport et une soutenance de fin d'etude seront demandes. Le projet compte pour 50% de la note finale. Un examen final compte pour 32% de la note finale et l'evaluation de la participation compte pour 18% de la note finale.","Automne : Controle continu : 18 % Rapport ecrit : 50 % Examen final : 32 % Printemps : Note minimum 10 calculee de la façon suivante : (note projet * 50% + note final * 32% + note de participation * 18%)"," KM capitalisation de connaissances veille technologique innovation creativite ","L'objectif de l'UV est de former l'etudiant ingenieur a  la gestion des ressources technologiques. L'etudiant devra etre capable de mener a  bien des actions ponctuelles ou sectorielles repondant a  une ou plusieurs partie du domaine de l'UV. Pour cela, il devra conn'aitre des methodes generales d'aide a  la decision et des methodes particulieres liees aux secteurs etudies.","","","Nous abordons dans le cadre de cette UV : La veille, La creativite, La capitalisation des technologies et du savoir-faire (KM), L'audit des technologies, L'enrichissement du portefeuille technologique, La Brevet et la protection industrielle,","A l'issue de cette formation l'etudiant devra s'etre approprie des methodes, (proposees dans l'UV ou decouvertes pendant le semestre) permettant de resoudre les problematiques liees au domaine de l'UV."
"GE39 "," MANAGEMENT ET MARKETING DE L'INNOVATION","6","Outils et methodes de l'ingenieur","Techniques manageriales","Techniques (TM-ST)","Automne, Printemps","Nathalie DARENE ","Nathalie DARENE ","Comment reperer et caracteriser dans l'environnement les opportunites nouvelles? Comment evaluer le potentiel d'un projet innovant? Y a t-il un marche? S'inscrit-il dans votre strategie? Quels seraient vos futurs clients? Vous entamerez une demarche Ã  travers un cas reel pour passer de l'analyse de l'environnement Ã  une decision de lancement sur le marche.","fin de branche","","Oui","Automne : Final (etude de cas) + cas-reel avec rapports et soutenances + fiches intermediaires Printemps : Un examen final individuel + un cas-reel a  mener en groupe","Automne : Examen final : 30% projet cas-flux (tous travaux : soutenances, rapports intermediaires, rapport complet de fin, synthese, ...) : 70% Printemps : Final : 30 % avec note eliminatoire a  7/20 Projet cas reel a  mener : 70 % (tous travaux ecrits et oraux en cours et en fin de semestre) note generale = ou > 10/20 "," diagnostic de viabilite marketing  strategies et environnement  comportement probable de l'acheteur plan Marketing segmentation prescriptive co-developpement Business Model ","d'elaborer un plan marketing a  3 ou 5 ans pour un projet innovant dont le potentiel marche n'est pas encore repere. ","- comprendre les enjeux de l'innovation pour une organisation - d'identifier les etapes du processus de management de l'innovation - d'interpreter l'emergence d'idees innovantes (ideation) dans un environnement flou - d'analyser l'environnement du projet emergeant et de l'organisation d'accueil du projet innovant (entreprise, association, collectivite) - d'elaborer une matrice de segmentation permettant d'aborder un marche potentiel en tenant compte des specificites des differents publics (seances de creativite) - diagnostiquer la potentialite du projet innovant tant d'un point de vue technologique qu'economique et commercial. - proposer des options d'orientations strategiques marketing (representation du marche, comportement probable de l'acheteur, elaboration du business modele, schema des relations inter-organisationnelles) - reperer et conseiller des co developpeurs adaptes au projet innovant - recommander un go, no go ou go sous-reserve au porteur de projet. ","- Travailler en equipe pluridisciplinaire (marketeur et ingenieur) - analyser un environnement instable - faire de la veille technologique et concurrentielle - construire des hypotheses de travail - manager un projet - gerer des relations constructives avec des industriels - rediger une synthese analytique et operationnelle pour le porteur de projet avec des prises de position et des recommandations (sans chercher a  lister l'ensemble des travaux du semestre) ","- strategies de l'entreprise : comment l'innovation va t-elle s'integrer avec coherence dans la politique de l'entreprise ? - Marketing de l'innovation : les etapes indispensables pour securiser sa demarche jusqu'au plan Marketing en saisissant les opportunites . - Management global de l'innovation : finances; protections; veille; intelligence economique ; specificites B to B ; plan de developpement ; comportement probable du futur client","- savoir elaborer la demarche globale de management d'un projet innovant - savoir batir un plan marketing strategique elabore (segmentation;diagnostic;plan sur 3 ou 5 ans ; protection de l'innovation ; financement ...) - pouvoir orienter une decision de ""go"" ou ""no go"""
"GE40 "," MANAGEMENT DE PROJETS","6","Outils et methodes de l'ingenieur","Techniques manageriales","Techniques (TM-ST)","Automne","Thierry GIDEL "," ","Cette UV de perfectionnement au management des projets permet d'acquerir des competences pour recruter et conduire des equipes projet (cours, exercices theoriques et temoignages de chefs de projet).A l'issue de cette uv, l'etudiant sera capable d'organiser, de piloter un projet industriel complexe en tant que chef de projet.","GX03","GE37","Oui","Automne : .Controle continu : 50 % Â·Examen Median : 20% Â·Examen Final : 30 % ","Automne : Attribution de l'UV si la note globale est superieure a  10 et si la note du final est superieure a  7. "," projet management planning rentabilite coa»t-budget phase - jalon delai risque tache - livrable innovation ","etre acteur projet efficace, en tant que representant de sa specialite dans l'equipe, et a  m'aitriser les techniques specifiques de management de grands projets en tant que chef de projet.","- preparer les decisions de lancement ou d'arret des projets: realisation de business plan, d'etude de faisabilite technico-economique, etude de rentabilite, cahier des charges preliminaire; - clarifier les missions, les objectifs, les contrats; - organiser le projet: preparer les plannings, les budgets (evaluer les coa»ts), recruter son equipe et repartir les taches, m'aitriser les delais, les coa»ts et les risques; - m'aitriser les contrats de sous-traitance; - mettre en place le systeme d'information, la gestion des documents et des donnees; - piloter l'action, gerer l'information, motiver et mener l'equipe au succes; - m'aitriser la conception : les verifications, validations et revues de conception, la gestion de configuration; - capitaliser l'experience acquise et organiser le retour d'experience.","","Â·Rappels : Definitions, enjeux, typologies, les phases d'avant-projet, de definition, de realisation. Methode generale de management de projets. Â·Application des principes de management de projets : Approche processus. PDP, structuration du projet. Ingenierie simultanee, cycle en V. Typologie des projets et modes d'organisations pour la gestion d'un projet. Niveaux de responsabilite dans la gestion d'un projet. Les normes de gestion de projet et les referentiels sectoriels de gestion de projet (RGAERO0040, ISO10006, ISO9001, ISOTS16949/QS9000, ') Â·Management des risques projet : Analyse Preliminaire des risques (APR), Analyse des Modes de Defaillance et Etude de leur Criticite (AMDEC) Projet, methodes pour les etudes de faisabilite techniques. M'aitrise de la conception : revue de contrat, verification, validation et revues de conception ; Gestion de configuration, m'aitrise des modifications. Â·M'aitrise des coa»ts : Faisabilite economique d'un projet, etude d'opportunite. Les fiches prix, les methodes d'estimation des differents coa»ts. Le flux de tresorie. Â·M'aitrise des delais, de l'approvisionnement et de la sous-traitance : Methodes de calculs d'avancement. La gestion des achats et des contrats de sous-traitance pour les projets. La gestion des penalites de retard. Â·Management par projet : Modeles d'organisation pour le management par projets. Niveaux de responsabilite dans la gestion des projets d'une entreprise. Role des acteurs dans le management par projet. Les logiciels de gestion de projet. Le recrutement et l'evaluation des membres de l'equipe projet. Les logiciels de gestion de projet. Le retour d'experience et la capitalisation. Gestion de la documentation : mise en place d'un systeme d'information, evolution de la documentation, identification et traçabilite des documents et donnees. Diffusion de l'information, gestion des listes. Â·Etudes d'impact, conduite du changement, projets europeens Â·Temoignage : la communication dans et autour du projet, les projets dans l'automobile, les projets dans les services,les grands projets aeronautiques et spatiaux, les projets de recherche,les projets bio-medicaux,les projets de BTP, les projets d'informatique.","Les competences que l'etudiant doit acquerir dans cette UV sont, sa capacite a : Â·Preparer les decisions de lancement ou d'arret des projets: realisation de business plan, d'etude de faisabilite technico-economique, etude de rentabilite, cahier des charges preliminaire. Â·Clarifier les missions, les objectifs, les contrats. Â·Organiser le projet: preparer les plannings, les budgets (evaluer les coa»ts), recruter son equipe et repartir les taches, m'aitriser les delais, les coa»ts et les risques. M'aitriser les contrats de sous-traitance. Mettre en place le systeme d'information, la gestion des documents et des donnees.
 Â·Piloter l'action, gerer l'information, motiver et mener l'equipe au succes. M'aitriser la conception : les verifications, validations et revues de conception, la gestion de configuration. Â·Capitaliser l'experience acquise et organiser le retour d'experience"
"GE90 "," ORGANISATION, INNOVATION ET INTERNATIONAL","4","Sciences economiques et de gestion","Sciences economiques et de gestion","Technologie et Sciences de l'Homme","Printemps"," ","David FLACHER ","l'UV consiste Ã  exploiter les travaux du seminaire de l'inter-semestre Â«Organisations, innovations et internationalÂ». l'etudiant interroge ainsi des specialistes de sciences economiques et gestion venus debattre de leurs recherches sur des questions contemporaines ouvertes. La participation au seminaire est necessaire pour s'inscrire Ã  cette UV. Ce travail est comparable Ã  une IR.","tous niveaux","","Non"," Printemps : Presence au seminaire (23 -27 janvier ) requise. Memoire final de 50 pages doc comprise : 100 % de la note "," Printemps : 10/20 minimum"," economie de la connaissance science des organisations gestion de l'innovation approche internationale ","comprendre, a  partir d'une problematique structurant une semaine de seminaire, les grandes transformations technico-economiques qui sous-tendent le renouvellement des pratiques d'ingenierie et les activites au sein de l'organisation. ","- identifier les grands enjeux economiques induits par les transformations du capitalisme; - construire un point de vue critique sur les mutations technico-economiques contemporaines; - poser et approfondir une problematique a  partir de contributions et points de vue differents exprimes lors d'un seminaire et de lectures complementaires. ","- formaliser dans un rapport ecrit une reflexion sur une problematique technico-economique; - participer activement a  des echanges collectifs autour d'une thematique economique. ","Le programme est specifique au theme de l'annee pour le seminaire. Pour exemple, pour l'annee 2002, le programme a ete : Journee 1 - Economie fondee sur la connaissance et nouvelles technologies cognitives : un changement de paradigme socio-technique ?. Journee 2 ( journee commune avec Phiteco) - Les technologies cognitives, l'innovation et l'organisation. Journee 3 - L'entreprise et la centralite de la connaissance dans la production de valeur : quels roles et usages des technologies cognitives ? Le programme de l'UV est organise selon 5 jours de Â« seminaires Â» qui se tiennent a  l'UTC fin janvier. La validation de l'UV est donc conditionnee par la presence et la participation effective a  ces 5 journees, ainsi que par la remise d'un rapport final en binome ou trinome, au plus tard a  la fin du semestre concerne. Le 1er temps de l'UV consiste donc en ces 5 journees. Elles se decomposent en 3 journees de seminaires Â« ouverts Â» ( la partie Â« colloque international Â») (voir le programme sur www.utc.fr/oi2) encadrees par une Â« pre-journees Â» etudiants, et une Â« post-journee Â» etudiants. La pre-journee a  pour finalite de vous preparer aux 3 jours du seminaire-colloque, en presence de differents enseignants-chercheurs de l'UTC. La post-journee permet, toujours en presence d'enseignants-chercheurs de l'UTC, de capitaliser sur ce seminaire et de mettre au point un sujet et un binome/trinome pour realiser votre rapport. A la fin de ces 5 jours, vous aurez donc choisi un sujet de rapport ainsi que les textes/interventions du seminaire vous servant de base, prevu une petite etude de terrain, et aurez etabli un binome ou trinome pour le realiser. Le 2eme temps de l'UV GE90 consiste en une revue de l'etat d'avancement du rapport, qui a lieu normalement au milieu du semestre concerne. Cette revue s'effectue separement par binome/trinome. Elle vise a  s'assurer que le travail deja  effectue cadre bien avec l'objectif initial, et de vous guider pour la realisation finale du rapport. Le 3eme temps correspond a  la remise du rapport final. La notation du rapport est effectuee par un des enseignants animateurs de l'UV GE90.","Amener le futur ingenieur, acteur privilegie de la dynamique innovatrice, a  developper sa comprehension des mutations en cours du capitalisme contemporain quant a  l'innovation, a  la mondialisation, et aux nouveaux modes d'organisation des firmes qu'elles induisent, sur un theme specifique chaque annee. Cette UV permet egalement une initiation a  la formation par la recherche."
"HE01 "," Ã‰PISTÃ‰MOLOGIE ET HISTOIRE DES SCIENCES","4","Sciences humaines et sociales","Sciences humaines et sociales","Technologie et Sciences de l'Homme","Automne, Printemps","Pierre STEINER ","Pierre STEINER ","Etude critique de la dynamique historique des sciences et de ses enjeux methodologiques et philosophiques. Y a-t-il une demarche propre aux pratiques scientifiques ? Comment penser l'origine et les (r)evolutions historiques des sciences, mais aussi les relations entre sciences, techniques et societes ?","tous niveaux","aucun","Oui","Automne : Examen final (ecrit) : 50 %; Presentation texte (orale) : 30 %; Compte-rendu ecrit : 20 %. Printemps : Examen final : 70% Presentation orale d'un texte : 30%","Automne : Au moins 45/100 (examen + presentation texte + compte-rendu) Mention a  80/100, avec au moins 40/50 a  l'examen final. "," intelligence artificielle medicale science moderne relativisme science antique ruptures biologie et biomedecine scientificite  realisme sciences medicales ","Comprendre et d'analyser les principales transformations theoriques, methodologiques, technologiques et culturelles connues par les sciences de la nature de l'Antiquite jusqu'au XXeme siecle, en passant notamment par l'apparition de la science Â« moderne Â».","- Conn'aitre les differentes manieres de lire l'histoire des sciences, au prisme de debats methodologiques comme celui entre internalisme et externalisme, entre presentisme et historicisme, et entre continuisme et discontinuisme. - Comprendre et mobiliser critiquement les apports de l'histoire des sciences et de l'epistemologie lorsqu'il s'agit de definir l'Â« expertise scientifique Â», l'Â« objectivite Â», la Â« scientificite Â», et plus largement les rapports entre sciences, techniques et societe, mais aussi les relations multiformes entre science et ingenierie. - Conn'aitre la portee et les limites de quelques grands courants en philosophie des sciences : positivisme, realisme, instrumentalisme, falsificationnisme, inductivisme. ","- Analyser et presenter oralement un texte (article, extrait d'ouvrage,...) relevant de l'histoire des sciences ou de l'epistemologie, en synthetisant et en problematisant ses hypotheses et enjeux principaux ; - Restituer, oralement et par ecrit, les principaux points d'une seance de cours (CR) ; - Conceptualiser, complexifier et problematiser de maniere adequate des faits historiques au prisme de l'histoire des sciences et de l'epistemologie. ","Parallelement a  une presentation systematique des grandes epistemologies, on analysera differents moments essentiels de l'histoire des sciences : la science de la scolastique ; l'origine de la science moderne ; la connaissance de l'espace depuis les Grecs jusqu'a  Einstein ; la biologie de l'evolution ; ' Via des exposes on proposera diverses etudes particulieres d'histoire et de sociologie des sciences actuelles ou passees.","Savoir situer les sciences presentes dans une histoire generale toujours en cours. Avoir compris la diversite des disciplines, des methodes et des modes de validation scientifiques et techniques. Conn'aitre le vocabulaire et les notions fondamentales des differentes epistemologies."
