"","Code","Mots_cles","Description","mix"
"67","EL01","electromagnetisme electrostatique magnetisme electrodynamique problemes de champ aux limites","Cette UV est destinee à donner aux futurs ingenieurs, quelle que soit leur specialite, les connaissances fondamentales en electromagnetisme. La theorie est developpee sur la base de systemes technologiques caracteristiques. Elle est completee par une initiation au calcul du champ electromagnetique par la methode des elements finis.","electromagnetisme electrostatique magnetisme electrodynamique problemes de champ aux limites Cette UV est destinee à donner aux futurs ingenieurs, quelle que soit leur specialite, les connaissances fondamentales en electromagnetisme. La theorie est developpee sur la base de systemes technologiques caracteristiques. Elle est completee par une initiation au calcul du champ electromagnetique par la methode des elements finis."
"68","EL02","circuits DC, AC monophase ou AC triphase protection et appareillages electriques reseaux electriques puissance et energie electrique mesures electriques transformateurs introduction aux energies renouvelables","EL02 aborde le domaine de l'electricite appliquee dans un contexte industrielle ou domestique. Il s'interesse en particulier aux problematiques de gestion et de distribution de l'energie electrique. Son objectif est de donner des connaissances generales mais aussi des competences pratiques dans le domaine du calcul, du dimensionnement et de l'exploitation des installations electriques de puissance.","circuits DC, AC monophase ou AC triphase protection et appareillages electriques reseaux electriques puissance et energie electrique mesures electriques transformateurs introduction aux energies renouvelables EL02 aborde le domaine de l'electricite appliquee dans un contexte industrielle ou domestique. Il s'interesse en particulier aux problematiques de gestion et de distribution de l'energie electrique. Son objectif est de donner des connaissances generales mais aussi des competences pratiques dans le domaine du calcul, du dimensionnement et de l'exploitation des installations electriques de puissance."
"69","EN14","composants fonctions electroniques","A l'issue de l'enseignement, l'etudiant sera capable d'analyser ou concevoir des systemes realises à partir de fonctions electroniques analogiques. Differents aspects de l'electronique sont abordes : amplification, filtrage, fonctions de conversion, interfaces de puissance, alimentation et transmission de signaux.","composants fonctions electroniques A l'issue de l'enseignement, l'etudiant sera capable d'analyser ou concevoir des systemes realises à partir de fonctions electroniques analogiques. Differents aspects de l'electronique sont abordes : amplification, filtrage, fonctions de conversion, interfaces de puissance, alimentation et transmission de signaux."
"70","EN21","amplificateur operationnel diode transistor semi-conducteur fonction de transfert diagramme de Bode Montages redresseurs MOSFETs","l'UV est destinee à constituer une initiation à l'electronique analogique, ses methodes et ses moyens. Apres un rappel sur les calculs de circuits electriques, on introduit les notions de quadripôle, de fonction de transfert et de Diagramme de Bode puis les circuits electroniques à base d'amplificateur operationnel. La 2e partie part des proprietes des semi-conducteurs pour comprendre le fonctionnement des composants et leur mise en oeuvre.","amplificateur operationnel diode transistor semi-conducteur fonction de transfert diagramme de Bode Montages redresseurs MOSFETs l'UV est destinee à constituer une initiation à l'electronique analogique, ses methodes et ses moyens. Apres un rappel sur les calculs de circuits electriques, on introduit les notions de quadripôle, de fonction de transfert et de Diagramme de Bode puis les circuits electroniques à base d'amplificateur operationnel. La 2e partie part des proprietes des semi-conducteurs pour comprendre le fonctionnement des composants et leur mise en oeuvre."
"71","EV01","traitement effluents gazeux effluents aqueux dechet traitement physico-chimique thermique biologique","caracterisation et analyse des differents milieux constituant notre environnement (eau, air, sol). Procedes et technologies de traitement des effluents gazeux, aqueux et dechets.","traitement effluents gazeux effluents aqueux dechet traitement physico-chimique thermique biologique caracterisation et analyse des differents milieux constituant notre environnement (eau, air, sol). Procedes et technologies de traitement des effluents gazeux, aqueux et dechets."
"72","EV02","procede propre conception de procede risques legislation environnement bilans approche REACh separations analyse de cycle de vie","La conception de procedes (plus) propres est un defi transdisciplinaire qui necessite la mise en place de connaissances et competences scientifiques, techniques, manageriales, economiques, juridiques, etc. EV02 est structure en 4 parties : Introduction à la conception de procedes propres ; Methodologies d'aide à la prise de decision (ACV, bilan carbone, evaluation multicritere) ; Aspects reglementaires et societaux ; Valorisation des dechets","procede propre conception de procede risques legislation environnement bilans approche REACh separations analyse de cycle de vie La conception de procedes (plus) propres est un defi transdisciplinaire qui necessite la mise en place de connaissances et competences scientifiques, techniques, manageriales, economiques, juridiques, etc. EV02 est structure en 4 parties : Introduction à la conception de procedes propres ; Methodologies d'aide à la prise de decision (ACV, bilan carbone, evaluation multicritere) ; Aspects reglementaires et societaux ; Valorisation des dechets"
"73","EV03","environnement  traitement de l'eau filtration  decantation procedes membranaires","L'enseignement est axe sur la connaissance et l'application des principes de fonctionnement des divers procedes de separation (filtration, decantation, technologies membranaires...). L'accent est mis sur les applications environnementales, telles que les procedes de traitement de l'eau. A l'issue de l'enseignement, l'etudiant sera capable de concevoir et de dimensionner des unites de traitement en selectionnant les technologies pertinentes.","environnement  traitement de l'eau filtration  decantation procedes membranaires L'enseignement est axe sur la connaissance et l'application des principes de fonctionnement des divers procedes de separation (filtration, decantation, technologies membranaires...). L'accent est mis sur les applications environnementales, telles que les procedes de traitement de l'eau. A l'issue de l'enseignement, l'etudiant sera capable de concevoir et de dimensionner des unites de traitement en selectionnant les technologies pertinentes."
"74","FQ01","Qualite en Conception OMQ Qualite programme Audit Management qualite et systemes Normalisation certification homologation Economie de l'ingenierie ISO 9000 Outils de base pour les risques Evaluation de la conformite","Management de la qualite en conception et en production OMQ QFD, analyse fonctionnelle, organisation technique du produit, gestion de configuration, Work Breakdown Structure,management systeme et normes ISO 9000, normalisation, evaluation de la conformite, certification homologation, economie de l'ingenierie.","Qualite en Conception OMQ Qualite programme Audit Management qualite et systemes Normalisation certification homologation Economie de l'ingenierie ISO 9000 Outils de base pour les risques Evaluation de la conformite Management de la qualite en conception et en production OMQ QFD, analyse fonctionnelle, organisation technique du produit, gestion de configuration, Work Breakdown Structure,management systeme et normes ISO 9000, normalisation, evaluation de la conformite, certification homologation, economie de l'ingenierie."
"75","FQ04","qualite bonnes pratiques certification normes reglementation","Qualite et principales exigences reglementaires appliquees dans les domaines industriels biomedical, pharmaceutique et agro-alimentaire. Directives et exigences reglementaires, normes, marquage CE, materio-vigilance,IFS,BRC, norme ISO 22000, bonnes pratiques de laboratoire, bonnes pratiques de fabrication,metrologie, cycle de vie d'un medicament. Approches metiers: responsable qualite et pharmacie.","qualite bonnes pratiques certification normes reglementation Qualite et principales exigences reglementaires appliquees dans les domaines industriels biomedical, pharmaceutique et agro-alimentaire. Directives et exigences reglementaires, normes, marquage CE, materio-vigilance,IFS,BRC, norme ISO 22000, bonnes pratiques de laboratoire, bonnes pratiques de fabrication,metrologie, cycle de vie d'un medicament. Approches metiers: responsable qualite et pharmacie."
"76","GA38","KM capitalisation de connaissances veille technologique innovation creativite","Enseignement à distance visant à former à la creativite industrielle du point de vue theorique et pratique Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et la protection industrielle","KM capitalisation de connaissances veille technologique innovation creativite Enseignement à distance visant à former à la creativite industrielle du point de vue theorique et pratique Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et la protection industrielle"
"77","GE10","emploi monnaie croissance PIB globalisation politiques economiques production, repartition, depense commerce international","L'UV a pour objectif d'introduire les grandes notions utiles à la comprehension du fonctionnement de l'economie (production, repartition et depense, globalisation de l'economie, financement de l'economie, monnaie, croissance, emploi et politiques economiques).","emploi monnaie croissance PIB globalisation politiques economiques production, repartition, depense commerce international L'UV a pour objectif d'introduire les grandes notions utiles à la comprehension du fonctionnement de l'economie (production, repartition et depense, globalisation de l'economie, financement de l'economie, monnaie, croissance, emploi et politiques economiques)."
"78","GE13","alea complexite vulnerabilite acteurs & outils catastrophe demarche comparative et multiscalaire resilience systeme","Tandis que les medias font deferler chaque jour des images du monde entier de nouveaux evenements de toute nature, qui occasionnent nombre de victimes et de dommages, il s'agit de proposer un enseignement des risques qui evite tout catastrophisme. Dans un contexte d'urbanisation rapide à l'echelle mondiale, d'elevation du niveau de vie, la catastrophe est de moins en moins bien acceptee.","alea complexite vulnerabilite acteurs & outils catastrophe demarche comparative et multiscalaire resilience systeme Tandis que les medias font deferler chaque jour des images du monde entier de nouveaux evenements de toute nature, qui occasionnent nombre de victimes et de dommages, il s'agit de proposer un enseignement des risques qui evite tout catastrophisme. Dans un contexte d'urbanisation rapide à l'echelle mondiale, d'elevation du niveau de vie, la catastrophe est de moins en moins bien acceptee."
"79","GE15","marketing propriete industrielle production finances","GE15 Initiation à la creation d'entreprises innovantes La creation d'une entreprise repose sur les personnes qui elaborent et batissent le projet. ""La plus belle creation d'entreprise, c'est Vous"", en premier lieu. Les etudiants, par groupe de 4, developpent une idee et creent une entreprise avec une demarche structuree ORIHA pour produire un BP, sesame pour les partenaires exterieurs.","marketing propriete industrielle production finances GE15 Initiation à la creation d'entreprises innovantes La creation d'une entreprise repose sur les personnes qui elaborent et batissent le projet. ""La plus belle creation d'entreprise, c'est Vous"", en premier lieu. Les etudiants, par groupe de 4, developpent une idee et creent une entreprise avec une demarche structuree ORIHA pour produire un BP, sesame pour les partenaires exterieurs."
"80","GE20","Concurrence/marches Secteurs/filieres Strategies de prix/produits Competitivite hors-coa<U+00BB>t Actifs immateriels Modeles economiques","L'UV porte sur l'analyse conjointe des nouveaux facteurs de competitivite des entreprises (services, marque, publicite, innovation, cooperation, reseau) et des mutations de leur environnement productif et concurrentiel (numerique, globalisation, economie de la connaissance, financiarisation). Dans cette perspective, les concepts de l'economie industrielle seront mobilises et discutes lors de revues de presse, etudes de cas et exposes thematiques.","Concurrence/marches Secteurs/filieres Strategies de prix/produits Competitivite hors-coa<U+00BB>t Actifs immateriels Modeles economiques L'UV porte sur l'analyse conjointe des nouveaux facteurs de competitivite des entreprises (services, marque, publicite, innovation, cooperation, reseau) et des mutations de leur environnement productif et concurrentiel (numerique, globalisation, economie de la connaissance, financiarisation). Dans cette perspective, les concepts de l'economie industrielle seront mobilises et discutes lors de revues de presse, etudes de cas et exposes thematiques."
"81","GE21","Innovation Communs Economie numerique Propriete intellectuelle Interactions Reseaux Socio-technique","Le brevet facilite-t-il l'innovation ? Peut-on gerer l'innovation radicale (disruption) ? Les innovations de type crypto-monnaies (ex: Bitcoin) ont-elles un avenir (durable) ? Telles sont quelques-unes des questions que nous pourrons soulever - et dont vous pourrez vous saisir via un projet en equipe - en cours ou en TD, au fil du semestre. Le cours presentera les grandes theories economiques sur l'innovation et le numerique, avec des exemples.","Innovation Communs Economie numerique Propriete intellectuelle Interactions Reseaux Socio-technique Le brevet facilite-t-il l'innovation ? Peut-on gerer l'innovation radicale (disruption) ? Les innovations de type crypto-monnaies (ex: Bitcoin) ont-elles un avenir (durable) ? Telles sont quelques-unes des questions que nous pourrons soulever - et dont vous pourrez vous saisir via un projet en equipe - en cours ou en TD, au fil du semestre. Le cours presentera les grandes theories economiques sur l'innovation et le numerique, avec des exemples."
"82","GE22","commerce international division internationale du travail systemes monetaires finance internationale mondialisation strategies de developpement","l'UV traite les questions se rapportant à l'echange international et de biens et services, les problemes monetaires et financiers internationaux.","commerce international division internationale du travail systemes monetaires finance internationale mondialisation strategies de developpement l'UV traite les questions se rapportant à l'echange international et de biens et services, les problemes monetaires et financiers internationaux."
"83","GE24","coa<U+00BB>t du capital Options reelles investissement Incertitude Projet plan de financement capital-risque R&D","GE24 permet à l'ingenieur de comprendre les specificites du financement de la R&D. Activite incertaine et complexe, elle requiert une ingenierie financiere où l'incertitude est creatrice de valeur et où l'on prend des options dans un processus de decision pluriannuel. On utilise les dispositifs de financement et d'incitation comme le credit impôt recherche et partenariats entreprise recherche pour faciliter la cooperation ingenieur investisseur.","coa<U+00BB>t du capital Options reelles investissement Incertitude Projet plan de financement capital-risque R&D GE24 permet à l'ingenieur de comprendre les specificites du financement de la R&D. Activite incertaine et complexe, elle requiert une ingenierie financiere où l'incertitude est creatrice de valeur et où l'on prend des options dans un processus de decision pluriannuel. On utilise les dispositifs de financement et d'incitation comme le credit impôt recherche et partenariats entreprise recherche pour faciliter la cooperation ingenieur investisseur."
"84","GE25","Juste A Temps (JAT) Productivite Stock Ordonnancement Amenagement Strategie Delai, Coa<U+00BB>t, Performance Previsions Lean","Presentation de la fonction production : donnees techniques, missions, outils et methodes, indicateurs de performance. La recherche de competitivite par la chasse aux coûts inutiles (non qualite, stocks excessifs, delais superflus) : analyse de la valeur, pilotage de la production en flux tendus, maîtrise d'une logistique globale (du fournisseur au client).","Juste A Temps (JAT) Productivite Stock Ordonnancement Amenagement Strategie Delai, Coa<U+00BB>t, Performance Previsions Lean Presentation de la fonction production : donnees techniques, missions, outils et methodes, indicateurs de performance. La recherche de competitivite par la chasse aux coûts inutiles (non qualite, stocks excessifs, delais superflus) : analyse de la valeur, pilotage de la production en flux tendus, maîtrise d'une logistique globale (du fournisseur au client)."
"85","GE26","ressources humaines competences recrutement management organisation relations sociales remuneration formation","l'UV presente les outils conceptuels, methodologiques et operationnels de la Gestion des Ressources Humaines.","ressources humaines competences recrutement management organisation relations sociales remuneration formation l'UV presente les outils conceptuels, methodologiques et operationnels de la Gestion des Ressources Humaines."
"86","GE27","Budgets resultat  SIG CAF bilans fonds de roulement tableaux de financement rentabilite actualisation","A partir de cas d'entreprises, le cours traite les budgets de tresorerie, propose une analyse des bilans, comptes de resultat et annexes et aborde les possibilites de financement des investissements. Ainsi, avec des approches mensuelles, annuelles et pluriannuelles, l'ingenieur developpe une comprehension des logiques financieres qui conditionnent ses decisions et interactions avec clients, fournisseurs et partenaires.","Budgets resultat  SIG CAF bilans fonds de roulement tableaux de financement rentabilite actualisation A partir de cas d'entreprises, le cours traite les budgets de tresorerie, propose une analyse des bilans, comptes de resultat et annexes et aborde les possibilites de financement des investissements. Ainsi, avec des approches mensuelles, annuelles et pluriannuelles, l'ingenieur developpe une comprehension des logiques financieres qui conditionnent ses decisions et interactions avec clients, fournisseurs et partenaires."
"87","GE28","innovation economie numerique propriete intellectuelle brevet economie numerique propriete intellectuelle Certificat d'obtention vegetale droit d'auteur droit d'auteur","Cette UV apporte des connaissances theoriques et pratiques sur le droit de la propriete intellectuelle (droit d'auteur, brevets, marque...), ainsi que sur le droit applicable aux valeurs immaterielles non protegees par ce droit (donnees, algorithmes, savoir-faire...). Elle permet aux futurs ingenieurs de comprendre les enjeux contemporains de la propriete intellectuelle, notamment ceux induits par le passage dans une economie numerique.","innovation economie numerique propriete intellectuelle brevet economie numerique propriete intellectuelle Certificat d'obtention vegetale droit d'auteur droit d'auteur Cette UV apporte des connaissances theoriques et pratiques sur le droit de la propriete intellectuelle (droit d'auteur, brevets, marque...), ainsi que sur le droit applicable aux valeurs immaterielles non protegees par ce droit (donnees, algorithmes, savoir-faire...). Elle permet aux futurs ingenieurs de comprendre les enjeux contemporains de la propriete intellectuelle, notamment ceux induits par le passage dans une economie numerique."
"88","GE29","organisation strategie d'implantation joint venture recrutement marketing approvisionnement logistique juridique fiscalisation","l'UV presente les processus de management des affaires dans l'environnement international complexe et competitif. l'objectif est de comprendre l'organisation du systeme de chaînes de valeur globales et de se former aux strategies d'internationalisation des entreprises, y compris aux strategies d'e-business.","organisation strategie d'implantation joint venture recrutement marketing approvisionnement logistique juridique fiscalisation l'UV presente les processus de management des affaires dans l'environnement international complexe et competitif. l'objectif est de comprendre l'organisation du systeme de chaînes de valeur globales et de se former aux strategies d'internationalisation des entreprises, y compris aux strategies d'e-business."
"89","GE36","esprit methode organisation etudes strategie E-CRM planification lancement nouveaux produits communication","L'UV familiarise les etudiants aux fondamentaux du marketing, explique les enjeux economiques et commerciaux de l'entreprise dans son environnement et permet de comprendre la fonction dans l'organisation interne.","esprit methode organisation etudes strategie E-CRM planification lancement nouveaux produits communication L'UV familiarise les etudiants aux fondamentaux du marketing, explique les enjeux economiques et commerciaux de l'entreprise dans son environnement et permet de comprendre la fonction dans l'organisation interne."
"90","GE37","Gestion Projet Delai Coa<U+00BB>t Tache Coordination Pilotage Decision Planning Budget","Cette UV d'initiation à la gestion des projets permet aux etudiants d'acquerir le vocabulaire, les concepts et les outils necessaires à la gestion des projets.","Gestion Projet Delai Coa<U+00BB>t Tache Coordination Pilotage Decision Planning Budget Cette UV d'initiation à la gestion des projets permet aux etudiants d'acquerir le vocabulaire, les concepts et les outils necessaires à la gestion des projets."
"91","GE38","KM capitalisation de connaissances veille technologique innovation creativite","Nous abordons dans l'UV la creativite industrielle du point de vue theorique et pratique. Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions de savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et de la protection industrielle","KM capitalisation de connaissances veille technologique innovation creativite Nous abordons dans l'UV la creativite industrielle du point de vue theorique et pratique. Nous mettons en oeuvre des outils d'aide à la creativite dans le cadre des travaux pratiques et d'un projet reel. Nous abordons, comme domaines complementaires : la capitalisation des connaissances, les notions de savoir et savoir-faire, connaissances, competences, le domaine de veille, de l'audit technologique et de la protection industrielle"
"92","GE39","diagnostic de viabilite marketing  strategies et environnement  comportement probable de l'acheteur plan Marketing segmentation prescriptive co-developpement Business Model","Comment reperer et caracteriser dans l'environnement les opportunites nouvelles? Comment evaluer le potentiel d'un projet innovant? Y a t-il un marche? S'inscrit-il dans votre strategie? Quels seraient vos futurs clients? Vous entamerez une demarche à travers un cas reel pour passer de l'analyse de l'environnement à une decision de lancement sur le marche.","diagnostic de viabilite marketing  strategies et environnement  comportement probable de l'acheteur plan Marketing segmentation prescriptive co-developpement Business Model Comment reperer et caracteriser dans l'environnement les opportunites nouvelles? Comment evaluer le potentiel d'un projet innovant? Y a t-il un marche? S'inscrit-il dans votre strategie? Quels seraient vos futurs clients? Vous entamerez une demarche à travers un cas reel pour passer de l'analyse de l'environnement à une decision de lancement sur le marche."
"93","GE40","projet management planning rentabilite coa<U+00BB>t-budget phase - jalon delai risque tache - livrable innovation","Cette UV de perfectionnement au management des projets permet d'acquerir des competences pour recruter et conduire des equipes projet (cours, exercices theoriques et temoignages de chefs de projet).A l'issue de cette uv, l'etudiant sera capable d'organiser, de piloter un projet industriel complexe en tant que chef de projet.","projet management planning rentabilite coa<U+00BB>t-budget phase - jalon delai risque tache - livrable innovation Cette UV de perfectionnement au management des projets permet d'acquerir des competences pour recruter et conduire des equipes projet (cours, exercices theoriques et temoignages de chefs de projet).A l'issue de cette uv, l'etudiant sera capable d'organiser, de piloter un projet industriel complexe en tant que chef de projet."
"94","GE90","economie de la connaissance science des organisations gestion de l'innovation approche internationale","l'UV consiste à exploiter les travaux du seminaire de l'inter-semestre «Organisations, innovations et international». l'etudiant interroge ainsi des specialistes de sciences economiques et gestion venus debattre de leurs recherches sur des questions contemporaines ouvertes. La participation au seminaire est necessaire pour s'inscrire à cette UV. Ce travail est comparable à une IR.","economie de la connaissance science des organisations gestion de l'innovation approche internationale l'UV consiste à exploiter les travaux du seminaire de l'inter-semestre «Organisations, innovations et international». l'etudiant interroge ainsi des specialistes de sciences economiques et gestion venus debattre de leurs recherches sur des questions contemporaines ouvertes. La participation au seminaire est necessaire pour s'inscrire à cette UV. Ce travail est comparable à une IR."
"95","HE01","intelligence artificielle medicale science moderne relativisme science antique ruptures biologie et biomedecine scientificite  realisme sciences medicales","Etude critique de la dynamique historique des sciences et de ses enjeux methodologiques et philosophiques. Y a-t-il une demarche propre aux pratiques scientifiques ? Comment penser l'origine et les (r)evolutions historiques des sciences, mais aussi les relations entre sciences, techniques et societes ?","intelligence artificielle medicale science moderne relativisme science antique ruptures biologie et biomedecine scientificite  realisme sciences medicales Etude critique de la dynamique historique des sciences et de ses enjeux methodologiques et philosophiques. Y a-t-il une demarche propre aux pratiques scientifiques ? Comment penser l'origine et les (r)evolutions historiques des sciences, mais aussi les relations entre sciences, techniques et societes ?"
"96","HE03","Histoire de la logique Systemes axiomatiques Logiques antiques positivisme logique, cercle de Vienne Incompletudes et limitations de la logique","Objectifs de l'UV : enrichir les cultures scientifique et philosophique. Y sont abordees des questions fondamentales, ainsi celle des rapports entre logique et philosophie notamment pour la logique antique et medievale, et entre logique contemporaine et les disciplines connexes que sont les mathematiques et l'informatique.","Histoire de la logique Systemes axiomatiques Logiques antiques positivisme logique, cercle de Vienne Incompletudes et limitations de la logique Objectifs de l'UV : enrichir les cultures scientifique et philosophique. Y sont abordees des questions fondamentales, ainsi celle des rapports entre logique et philosophie notamment pour la logique antique et medievale, et entre logique contemporaine et les disciplines connexes que sont les mathematiques et l'informatique."
"97","HT01","technologie et societe histoire des techniques histoire de l'innovation technique","L'UV a pour objectif de sensibiliser l'etudiant à la relation technique/technologie/societe, grace aux apports de l'histoire, de la sociologie, de la philosophie et de l'anthropologie : presentation des objets techniques, des principaux moments de l'histoire des techniques, des revolutions industrielles, des lois d'evolution et du fonctionnement de la technologie.","technologie et societe histoire des techniques histoire de l'innovation technique L'UV a pour objectif de sensibiliser l'etudiant à la relation technique/technologie/societe, grace aux apports de l'histoire, de la sociologie, de la philosophie et de l'anthropologie : presentation des objets techniques, des principaux moments de l'histoire des techniques, des revolutions industrielles, des lois d'evolution et du fonctionnement de la technologie."
"98","IA01","Intelligence Artificielle Representation des connaissances Raisonnement programmation symbolique Reseau de neurones artificiels Algorithme genetique Logiques de description Ontologie Reseaux semantiques Systeme multi-agents","L'UV permet aux etudiants : (1) de maitriser les notions et techniques de base de l'Intelligence Artificielle, (2) de mettre en oeuvre une programmation symbolique de type fonctionnel. Les notions et techniques seront introduites à partir d'applications developpees au moyen du langage LISP.","Intelligence Artificielle Representation des connaissances Raisonnement programmation symbolique Reseau de neurones artificiels Algorithme genetique Logiques de description Ontologie Reseaux semantiques Systeme multi-agents L'UV permet aux etudiants : (1) de maitriser les notions et techniques de base de l'Intelligence Artificielle, (2) de mettre en oeuvre une programmation symbolique de type fonctionnel. Les notions et techniques seront introduites à partir d'applications developpees au moyen du langage LISP."
"99","IA02","calcul des predicats representation logique demonstration automatique heuristiques recherche dans un espace d'etats algorithmes pour les jeux SAT programmation logique","Cette UV a pour objectif de faire decouvrir des methodes de resolution de problemes via la demonstration automatique et la programmation logique, ou par l'application de techniques de recherche.","calcul des predicats representation logique demonstration automatique heuristiques recherche dans un espace d'etats algorithmes pour les jeux SAT programmation logique Cette UV a pour objectif de faire decouvrir des methodes de resolution de problemes via la demonstration automatique et la programmation logique, ou par l'application de techniques de recherche."
"100","IA03","Capitalisation des connaissances Technologie du web semantique Environnement de collaboration Ontologie Memoire d'entreprise Web de donnees Logiques de description","L'UV IA03 comprend une analyse de la problematique de capitalisation des connaissances, ainsi qu'une etude de technologies et methodes de traitement d'information mobilisables pour repondre à l'attente des entreprises.","Capitalisation des connaissances Technologie du web semantique Environnement de collaboration Ontologie Memoire d'entreprise Web de donnees Logiques de description L'UV IA03 comprend une analyse de la problematique de capitalisation des connaissances, ainsi qu'une etude de technologies et methodes de traitement d'information mobilisables pour repondre à l'attente des entreprises."
"101","IA04","systemes multi-agents intelligence artificielle distribuee programmation orientee service choix social computationnel","Le but de ce cours est d'introduire les systemes distribues et la technologie multi-agents qui connaissent un grand essor dans les architectures informatiques. Ces systemes font intervenir des entites autonomes, des agents reactifs et des agents intelligents (cognitifs). Les approches proposees proviennent de l'intelligence artificielle (distribuee), du choix social computationnel et de la theorie de la decision.","systemes multi-agents intelligence artificielle distribuee programmation orientee service choix social computationnel Le but de ce cours est d'introduire les systemes distribues et la technologie multi-agents qui connaissent un grand essor dans les architectures informatiques. Ces systemes font intervenir des entites autonomes, des agents reactifs et des agents intelligents (cognitifs). Les approches proposees proviennent de l'intelligence artificielle (distribuee), du choix social computationnel et de la theorie de la decision."
"102","IC01","industrie culturelle numerique convergence industrialisation contenus","la culture a ses objets. l'UV etudie comment le numerique permet de deployer une industrialisation de plus en plus massive des contenus et des objets culturels et en analyse les diverses tendances. Les TD portent sur des etudes de cas liees aux convergences informatique/reseau, contenu/service. l'UV met en perspective le rôle et la place de l'ingenieur dans ce domaine.","industrie culturelle numerique convergence industrialisation contenus la culture a ses objets. l'UV etudie comment le numerique permet de deployer une industrialisation de plus en plus massive des contenus et des objets culturels et en analyse les diverses tendances. Les TD portent sur des etudes de cas liees aux convergences informatique/reseau, contenu/service. l'UV met en perspective le rôle et la place de l'ingenieur dans ce domaine."
"103","IC05","analyse de donnees visualisation d'information web reseaux innovation technologique","L'UV porte sur la science des reseaux et la cartographie d'information dans l'analyse de donnees (bases de connaissances, reseaux sociaux, donnees web, big data, reseaux de concepts...).","analyse de donnees visualisation d'information web reseaux innovation technologique L'UV porte sur la science des reseaux et la cartographie d'information dans l'analyse de donnees (bases de connaissances, reseaux sociaux, donnees web, big data, reseaux de concepts...)."
"104","IC06","projet jeux video industrie conception histoire culture conservation tests esthetique gameplay","Les jeux video sont desormais reconnus comme creations artistiques et leur industrie occupe une place importante dans l'economie mondiale. IC06 propose une entree en matiere au monde des jeux video : comprendre les enjeux, connaître la mise en oeuvre industrielle et savoir mener à bien un projet de production. Les seances de travaux diriges donnent lieu à la conception d'un jeu video et à sa realisation, avec ou sans programmation.","projet jeux video industrie conception histoire culture conservation tests esthetique gameplay Les jeux video sont desormais reconnus comme creations artistiques et leur industrie occupe une place importante dans l'economie mondiale. IC06 propose une entree en matiere au monde des jeux video : comprendre les enjeux, connaître la mise en oeuvre industrielle et savoir mener à bien un projet de production. Les seances de travaux diriges donnent lieu à la conception d'un jeu video et à sa realisation, avec ou sans programmation."
"105","ICX7","organisation cooperation innovation collectif communaute reseau management sociologie economie NTIC","L'enseignement vise à acquerir et s'approprier les concepts relatifs à l'analyse socio-economique des dynamiques des acteurs innovants dans l'entreprise. Les questionnements principaux portent sur les caracteristiques d'un milieu favorisant l'emergence d'une innovativite organisationnelle,les modalites de constitution d'un tel milieu, son animation et sa gouvernance globale.","organisation cooperation innovation collectif communaute reseau management sociologie economie NTIC L'enseignement vise à acquerir et s'approprier les concepts relatifs à l'analyse socio-economique des dynamiques des acteurs innovants dans l'entreprise. Les questionnements principaux portent sur les caracteristiques d'un milieu favorisant l'emergence d'une innovativite organisationnelle,les modalites de constitution d'un tel milieu, son animation et sa gouvernance globale."
"106","INF2","algorithme programmation objet python programmation web interface utilisateur base de donnees bibliotheques scientifiques","L'objectif est d'aborder les concepts et methodes de la programmation à travers l'utilisation du langage oriente objet Python pour apprendre à developper des applications informatiques traitant des problematiques des sciences de l'ingenieur.","algorithme programmation objet python programmation web interface utilisateur base de donnees bibliotheques scientifiques L'objectif est d'aborder les concepts et methodes de la programmation à travers l'utilisation du langage oriente objet Python pour apprendre à developper des applications informatiques traitant des problematiques des sciences de l'ingenieur."
"107","IQ01","Qubits Portes quantiques Algorithmes quantiques","L'objectif est d'amener les etudiants à maîtriser les concepts de l'informatique quantique (qubits, registres quantiques, etats intriques, portes quantiques) et à comprendre les principaux algorithmes connus (algorithmes de recherche, algorithmes bases sur la transformee de Fourier quantique) et leurs applications (en particulier pour la factorisation mais egalement pour la recherche de solutions et la cryptographie).","Qubits Portes quantiques Algorithmes quantiques L'objectif est d'amener les etudiants à maîtriser les concepts de l'informatique quantique (qubits, registres quantiques, etats intriques, portes quantiques) et à comprendre les principaux algorithmes connus (algorithmes de recherche, algorithmes bases sur la transformee de Fourier quantique) et leurs applications (en particulier pour la factorisation mais egalement pour la recherche de solutions et la cryptographie)."
